Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
69,0,6.48105,6.22685,-70.1057,6914.52,245.371,465.699,-495.5,-98.6298,0
70,0,6.4363,6.38159,-70.2081,6936.31,243.751,420.808,-495.527,-98.7962,0
71,0,6.54485,6.40846,-70.1459,6924.74,279.007,451.353,-495.021,-98.7189,0
72,0,6.87472,6.51534,-70.3079,6937.04,219.422,482.005,-495.878,-98.666,0
73,0,6.77766,6.62871,-70.2027,6895.51,297.146,441.534,-494.767,-98.2224,0
74,0,6.86291,6.53309,-70.268,6946.04,276.974,517.363,-495.058,-98.8504,0
75,0,6.72725,6.29379,-70.1688,6838.49,257.455,484.97,-495.331,-97.4582,0
76,0,6.75911,6.41876,-70.0155,6884.2,224.928,511.479,-495.787,-98.3234,0
77,0,6.79358,6.3102,-70.1769,6926.32,225.305,484.88,-495.79,-98.6985,0
78,0,6.52687,6.17877,-70.1384,6840.61,276.94,465.197,-495.051,-97.5314,0
79,0,6.55239,6.31461,-69.9423,6857.52,284.736,449.628,-494.929,-98.0463,0
80,0,6.4705,6.25865,-70.1788,6858.77,268.659,485.028,-495.172,-97.7319,0
81,0,6.53858,6.56261,-70.2501,6944.41,277.382,421.205,-495.051,-98.8518,0
82,0,6.62814,6.32141,-70.1812,6859.78,308.729,387.513,-494.6,-97.7432,0
83,0,6.65592,6.34777,-70.3318,6955.46,228.682,367.857,-495.749,-98.8963,0
84,0,6.58257,6.25109,-70.4903,6933.59,270.827,422.873,-495.158,-98.3635,0
85,0,6.60695,6.5106,-70.3702,7027.03,270.001,493.972,-495.163,-99.8576,0
86,0,6.64526,6.03746,-70.3304,6907.73,269.423,451.886,-495.169,-98.2181,0
87,0,6.9321,6.3686,-70.3528,6996.03,257.284,389.556,-495.343,-99.4421,0
88,0,6.9515,6.49687,-70.2838,6957.78,252.84,479.437,-495.402,-98.9938,0
89,0,6.89564,6.34828,-70.1599,6881.92,290.71,423.934,-494.857,-98.0868,0
90,0,6.95127,6.5072,-70.3054,6980.83,292.118,478.717,-494.847,-99.2907,0
91,0,6.84075,6.33919,-69.992,6903.84,218.229,516.516,-495.881,-98.6359,0
92,0,6.80121,6.45385,-70.3345,6966.74,206.759,548.188,-496.06,-99.051,0
93,0,6.90168,6.38819,-70.2056,6918.95,239.731,527.061,-495.586,-98.5541,0
94,0,7.25118,6.45287,-70.0898,7009.1,236.803,469.381,-495.622,-100.002,0
95,0,7.17916,6.31345,-70.0716,6890.32,273.191,420.1,-495.102,-98.3331,0
96,0,6.99095,6.35921,-69.9411,6911.23,233.666,492.227,-495.66,-98.8152,0
97,0,6.98806,6.26746,-70.2254,6934.9,255.959,433.402,-495.355,-98.7518,0
98,0,6.8471,6.20729,-70.2578,6950.08,236.526,446.311,-495.634,-98.9217,0
99,0,6.88031,6.10149,-69.9523,6908.98,213.633,439.317,-495.946,-98.7658,0
100,0,6.87349,6.22433,-70.5081,6939.84,236.826,415.149,-495.641,-98.4251,0
101,0,6.73939,6.04001,-70.3435,6841.05,252.725,431.597,-495.408,-97.2545,0
102,0,6.94141,6.27881,-70.1214,6951.46,226.364,462.463,-495.771,-99.1338,0
103,0,7.01863,6.05636,-70.0839,6862.07,268.773,480.498,-495.165,-97.9109,0
104,0,7.09415,6.355,-70.2232,6944.12,239.827,459.293,-495.585,-98.8859,0
105,0,6.98701,6.27564,-70.1449,6896.61,228.186,412.608,-495.747,-98.3192,0
106,0,7.05042,6.4993,-70.1413,7031.67,200.487,378.635,-496.141,-100.25,0
107,0,6.99657,6.31003,-70.1063,6965.25,251.791,356.803,-495.409,-99.354,0
108,0,6.95369,5.9995,-70.1216,6841.69,279.955,331.233,-495.007,-97.5706,0
109,0,6.8401,6.13559,-70.0021,6918.98,273.118,328.182,-495.097,-98.8393,0
110,0,6.97031,6.2242,-70.3578,6940.54,238.261,352.154,-495.614,-98.6453,0
111,0,6.72681,6.00786,-70.0541,6837.75,254.737,325.659,-495.363,-97.6067,0
112,0,6.78466,5.93604,-69.8606,6854.96,306.274,338.781,-494.616,-98.1228,0
113,0,6.81944,5.99843,-70.0374,6930.61,260.337,310.364,-495.283,-98.9575,0
114,0,6.76169,5.8656,-70.1851,6887.26,248.459,275.701,-495.46,-98.132,0
115,0,6.58086,5.96191,-69.839,6931.8,257.522,339.603,-495.313,-99.254,0
116,0,6.56519,6.0191,-69.9721,6900.85,280.84,407.844,-494.987,-98.626,0
117,0,6.53512,6.01752,-70.2517,6840.55,284.727,335.107,-494.948,-97.3737,0
118,0,6.8854,6.1704,-70.0948,6936.66,218.219,381.404,-495.887,-98.9612,0
119,0,6.91716,5.99932,-70.2243,6911.91,254.02,355.485,-495.383,-98.4261,0
120,0,6.85002,5.89856,-70.2458,6879.33,282.666,373.649,-494.976,-97.9318,0
121,0,6.92319,6.32205,-70.3493,6939.92,280.519,440.582,-495.012,-98.6493,0
122,0,6.62896,6.03272,-70.2505,6855.88,278.49,431.018,-495.036,-97.5911,0
123,0,6.67607,5.97762,-70.1051,6839.5,245.66,424.48,-495.496,-97.5584,0
124,0,6.79651,6.24028,-70.3415,6955.63,219.629,377.612,-495.878,-98.8836,0
125,0,6.79493,6.13318,-70.258,6887.97,207.029,440.642,-496.053,-98.0401,0
126,0,6.71125,6.31601,-70.1619,6967.33,263.54,410.125,-495.245,-99.3068,0
127,0,6.72052,6.02582,-70.3466,6838.69,299.199,367.952,-494.747,-97.2152,0
128,0,6.7993,6.08442,-70.1633,6913.05,279.001,328.277,-495.023,-98.5275,0
129,0,6.78787,6.1474,-70.2917,6979.9,261.094,389.773,-495.285,-99.3,0
130,0,6.81135,5.86337,-70.335,6904.74,252.023,455.764,-495.417,-98.1704,0
131,0,6.78357,5.99175,-70.2308,6958.54,275.522,436.505,-495.078,-99.081,0
132,0,6.70955,6.13815,-70.5084,6975.83,299.506,439.476,-494.752,-98.9358,0
133,0,6.61639,5.90955,-70.3675,6948,260.085,465.499,-495.305,-98.7394,0
134,0,6.95644,6.28299,-70.2481,7011.67,189.435,397.705,-496.303,-99.813,0
135,0,7.02238,6.2659,-70.2478,6991.75,255.906,364.77,-495.357,-99.5298,0
136,0,6.82973,5.9402,-70.1737,6919.92,301.349,517.891,-494.706,-98.6112,0
137,0,6.67049,5.832,-70.0452,6895.57,300.621,540,-494.708,-98.4445,0
138,0,6.6073,6.21329,-70.1984,6949.53,283.665,514.476,-494.959,-98.9976,0
139,0,6.88306,6.34035,-70.3785,7026.79,258.61,520.736,-495.325,-99.8429,0
140,0,6.96806,5.96769,-70.4168,6954.08,252.796,508.932,-495.41,-98.7559,0
141,0,6.77165,5.91423,-70.3112,6857.98,256.286,495.314,-495.357,-97.5401,0
142,0,6.85977,6.22555,-70.1986,6983.79,187.08,495.574,-496.336,-99.4869,0
143,0,6.86614,6.0194,-70.4632,6965.96,222.932,455.815,-495.837,-98.8572,0
144,0,6.85063,5.81817,-70.0168,6881.33,228.731,503.136,-495.733,-98.2811,0
145,0,6.93743,6.0074,-70.1334,6975.87,261.591,522.383,-495.269,-99.4658,0
146,0,7.11762,6.15674,-70.4288,7006.09,212.531,455.627,-495.982,-99.4776,0
147,0,7.2422,6.26989,-70.484,6990.36,226.923,491.029,-495.78,-99.1773,0
148,0,7.12843,6.13009,-70.5667,6914.54,212.271,526.273,-495.992,-97.9854,0
149,0,7.13194,6.08085,-70.4188,6850.17,239.142,595.958,-495.604,-97.2776,0
150,0,7.08895,5.97851,-70.4122,6839.44,249.721,569.698,-495.453,-97.1343,0
151,0,7.11312,6.02924,-70.3443,6917.57,280.817,573.34,-495.008,-98.3402,0
152,0,7.21303,6.10112,-70.1601,6981.28,268.262,548.439,-495.176,-99.5052,0
153,0,7.13188,6.17822,-70.2847,6933.88,216.769,597.571,-495.916,-98.6554,0
154,0,6.99001,6.06971,-70.4966,6856.65,251.492,614.296,-495.432,-97.2609,0
155,0,7.04082,6.06534,-70.5876,6907.46,242.07,592.384,-495.569,-97.8541,0
156,0,6.98903,5.8015,-70.1811,6812.55,283.402,546.732,-494.962,-97.0714,0
157,0,6.79438,6.10685,-70.2387,6935.31,252.167,494.19,-495.41,-98.7384,0
