currTime,s1,s2,s3,s4,s,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
1968,761.38,766.61,757.84,759.12,761.24,-71.29,-928.71,418.95,-0.17,-1.85,-1.78
1999,761.44,766.68,757.79,759.19,761.27,-63.48,-930.18,415.04,-1.09,2.04,-1.16
2030,761.48,766.66,757.85,759.17,761.29,-69.82,-934.57,433.11,1.43,-0.16,0.12
2061,761.39,766.62,757.81,759.16,761.24,-77.64,-929.20,429.20,1.07,-1.19,0.68
2092,761.46,766.71,757.80,759.16,761.28,-71.78,-936.52,419.92,0.69,-0.38,1.42
2123,761.51,766.66,757.84,759.23,761.31,-74.22,-933.11,416.99,0.51,1.72,-1.32
2154,761.46,766.68,757.84,759.21,761.30,-76.17,-922.85,422.36,-0.29,-1.15,-1.85
2185,761.45,766.64,757.81,759.17,761.27,-80.57,-932.13,419.92,0.79,-1.41,0.02
2216,761.44,766.65,757.81,759.13,761.26,-78.12,-923.34,427.25,-2.43,1.95,-0.96
2247,761.47,766.63,757.78,759.20,761.27,-76.66,-936.04,412.60,-0.34,0.83,-1.44
2278,761.32,766.58,757.86,759.16,761.23,-72.75,-934.57,424.80,1.08,4.00,0.02
2309,761.40,766.61,757.76,759.14,761.23,-70.31,-928.71,428.22,-0.77,1.79,-0.99
2340,761.36,766.63,757.75,759.12,761.22,-75.68,-929.20,421.39,0.62,-1.44,0.22
2371,761.34,766.69,757.80,759.08,761.23,-80.08,-915.53,429.69,-0.50,1.02,1.30
2402,761.39,766.57,757.77,759.15,761.22,-77.15,-912.60,421.87,-1.02,2.09,0.35
2433,761.32,766.58,757.78,759.17,761.21,-73.73,-918.95,407.23,0.53,1.30,0.30
2464,761.28,766.60,757.81,759.20,761.22,-76.66,-917.48,426.76,-0.15,1.46,1.21
2495,761.28,766.59,757.85,759.20,761.23,-78.61,-918.95,422.36,-1.82,1.44,-0.99
2526,761.22,766.66,757.77,759.25,761.23,-80.08,-926.27,433.11,-1.08,2.32,-0.44
2557,761.26,766.57,757.75,759.18,761.19,-73.73,-931.64,417.48,-0.99,-1.32,-1.38
2588,761.23,766.66,757.75,759.21,761.21,-67.38,-923.83,424.80,0.07,2.47,-2.08
2619,761.34,766.67,757.78,759.19,761.24,-79.10,-916.50,419.92,0.05,-1.23,-3.36
2650,761.37,766.67,757.81,759.22,761.27,-67.38,-928.71,419.92,0.15,1.85,0.95
2681,761.43,766.74,757.79,759.23,761.30,-101.07,-920.90,440.92,2.09,1.10,-0.15
2712,761.35,766.64,757.82,759.20,761.25,-65.43,-934.57,426.27,-2.93,-1.39,-1.69
2743,761.34,766.72,757.81,759.21,761.27,-86.91,-929.20,426.27,-0.31,0.58,2.08
2774,761.29,766.58,757.84,759.14,761.21,-77.15,-912.11,442.38,-1.61,-2.42,0.45
2805,761.29,766.60,757.72,759.22,761.21,-96.68,-887.21,447.75,5.95,5.45,-0.66
2836,761.37,766.58,757.85,759.24,761.26,-54.20,-935.06,431.64,0.64,4.18,-2.81
2867,761.39,766.56,757.78,759.19,761.23,-75.68,-948.24,428.71,-1.24,-0.11,-1.49
2898,761.46,766.73,757.81,759.19,761.30,-114.26,-896.48,429.69,2.07,2.24,0.23
2929,761.51,766.60,757.83,759.21,761.29,-64.45,-914.55,427.25,-0.65,-0.31,-0.13
2960,761.48,766.66,757.84,759.22,761.30,-70.80,-937.50,416.50,0.87,-1.69,0.12
2991,761.57,766.68,757.77,759.20,761.31,-80.08,-916.02,434.57,-1.07,-0.74,-1.78
3021,761.53,766.72,757.90,759.15,761.32,-83.98,-916.02,420.41,-0.80,-3.90,-1.44
3052,761.56,766.65,757.80,759.18,761.30,-78.61,-937.50,420.41,-0.55,-1.02,0.05
3082,761.60,766.73,757.92,759.16,761.35,-92.29,-922.36,429.69,1.06,-0.82,-0.95
3112,761.52,766.68,757.86,759.18,761.31,-78.61,-921.39,429.69,-0.17,0.41,-0.30
3143,761.56,766.77,757.86,759.19,761.35,-75.20,-916.50,435.06,-0.49,-0.86,-0.88
3173,761.62,766.76,757.92,759.22,761.38,-82.52,-936.04,423.83,0.35,-2.51,-1.99
3204,761.48,766.70,757.86,759.21,761.31,-55.18,-940.43,399.90,1.20,-1.06,0.92
3235,761.53,766.85,757.85,759.07,761.33,-40.53,-936.52,376.95,13.34,36.05,3.00
3266,761.59,766.81,757.80,759.16,761.34,-34.67,-958.50,519.04,1.05,-2.67,-0.13
3297,761.19,766.74,757.83,759.13,761.22,-35.16,-895.51,473.63,1.70,3.08,2.23
3327,761.37,766.81,757.86,759.17,761.31,-75.20,-909.18,397.95,3.31,-0.44,-3.09
3358,761.82,766.86,757.83,759.24,761.44,-64.45,-921.39,444.82,-1.08,-1.57,-1.42
3389,761.56,766.85,757.88,759.17,761.37,-77.64,-924.80,425.78,0.09,2.64,-1.04
3419,761.61,766.81,757.88,759.20,761.37,-73.24,-923.34,432.62,-1.33,1.30,-1.23
3450,761.66,766.75,757.79,759.10,761.32,-88.38,-921.39,434.57,-2.47,0.14,-1.82
3481,761.64,766.69,757.82,759.21,761.34,-85.94,-928.22,420.90,-0.61,0.51,-2.38
3512,761.62,766.75,757.69,759.18,761.31,-78.61,-942.38,431.15,0.17,0.12,-3.88
3543,761.72,766.79,757.68,759.13,761.33,-75.68,-925.78,431.15,-0.19,-1.41,-2.97
3574,761.71,766.74,757.78,759.14,761.34,-73.24,-921.87,442.87,-1.21,-2.70,-2.65
3605,761.61,766.76,757.89,759.22,761.37,-73.24,-920.41,434.08,-0.14,-1.94,0.82
3636,761.62,766.74,757.74,759.16,761.31,-76.66,-918.95,425.78,0.40,0.31,-0.95
3667,761.61,766.72,757.81,759.19,761.33,-78.12,-933.59,427.25,0.83,-2.04,-0.03
3698,761.61,766.69,757.81,759.19,761.32,-66.89,-928.22,433.59,-0.41,-1.68,-1.08
3729,761.56,766.64,757.80,759.19,761.30,-78.61,-933.59,419.43,-0.80,1.12,-3.79
3760,761.50,766.73,757.80,759.24,761.32,-86.43,-923.34,438.96,-3.73,-0.78,0.11
3791,761.45,766.70,757.77,759.22,761.29,-74.22,-933.11,424.32,-1.98,-0.23,-0.61
3825,761.50,766.70,757.78,759.14,761.28,-83.98,-924.32,420.41,-0.95,2.75,-1.44
3856,761.50,766.63,757.77,759.14,761.26,-74.71,-917.48,423.34,-3.47,0.82,1.03
3887,761.46,766.70,757.73,759.17,761.27,-57.62,-926.27,418.95,0.48,-0.45,-1.23
3918,761.48,766.77,757.75,759.13,761.28,-71.78,-914.06,429.69,-2.18,-0.36,-2.40
3949,761.40,766.75,757.79,759.12,761.27,-69.34,-927.25,429.20,-1.08,-0.46,-0.56
3980,761.33,766.80,757.76,759.13,761.25,-81.05,-925.78,430.18,-1.58,1.11,0.02
4011,761.37,766.80,757.77,759.07,761.25,-75.20,-925.29,423.83,-1.72,0.73,0.89
4042,761.39,766.84,757.81,759.13,761.29,-82.03,-933.11,426.76,-1.37,-0.25,-1.85
4073,761.34,766.75,757.77,759.10,761.24,-72.27,-919.92,417.48,-0.99,-1.23,-1.18
4104,761.36,766.80,757.81,759.08,761.26,-76.66,-919.43,416.99,-0.37,-0.83,1.05
4135,761.51,766.86,757.77,759.11,761.31,-74.22,-925.29,421.87,-0.07,-0.69,-0.68
4166,761.60,766.81,757.79,759.12,761.33,-69.34,-926.76,418.95,0.24,3.31,1.79
4197,761.68,766.87,757.74,759.22,761.38,-74.22,-924.80,415.04,-0.87,1.39,-1.57
4228,761.88,766.87,757.79,759.19,761.43,-74.22,-921.39,426.27,0.75,1.17,-2.06
4259,761.89,766.90,757.80,759.22,761.45,-77.15,-933.59,423.83,-2.08,2.16,-2.53
4290,761.97,766.97,757.83,759.24,761.50,-68.36,-922.85,423.34,-0.22,-1.14,1.21
4321,761.95,767.03,757.81,759.28,761.52,-74.71,-924.80,422.36,0.25,1.26,-0.35
4352,762.25,767.03,757.79,759.31,761.59,-74.71,-925.78,429.20,0.77,2.11,-1.77
4383,762.27,767.02,757.83,759.32,761.61,-82.03,-933.59,426.27,1.18,0.50,-1.39
4414,762.35,767.13,757.82,759.39,761.67,-75.20,-938.48,438.48,3.69,0.27,-2.10
4445,762.48,767.09,757.83,759.30,761.68,-61.52,-927.25,426.76,0.99,0.78,-1.44
4476,762.68,767.21,757.83,759.39,761.77,-66.89,-936.04,418.95,0.70,-0.36,-0.82
4507,762.75,767.15,757.86,759.39,761.79,-56.64,-921.39,424.80,-0.58,-1.20,-0.45
4538,763.00,767.16,757.80,759.43,761.85,-75.68,-932.62,425.29,-0.02,-1.95,-1.44
4569,763.22,767.18,757.79,759.46,761.91,-84.96,-922.36,412.60,0.77,0.15,0.05
4599,763.31,767.18,757.89,759.39,761.94,-78.61,-919.92,416.99,0.64,0.08,1.78
4630,763.56,767.12,757.79,759.37,761.96,-81.54,-931.64,422.85,-0.01,-2.05,-0.24
4660,763.69,767.11,757.74,759.45,762.00,-79.10,-935.06,429.20,0.31,-1.79,-1.48
4691,763.75,767.15,757.83,759.37,762.03,-76.17,-929.20,414.06,1.37,-0.80,1.51
4721,763.96,767.05,757.87,759.40,762.07,-75.20,-925.29,427.73,2.01,-1.52,-0.79
4751,764.00,767.03,757.84,759.38,762.06,-86.43,-920.90,428.71,1.75,0.79,-0.66
4783,764.17,767.01,757.78,759.29,762.06,-83.98,-936.04,428.71,-1.38,-0.43,-1.94
4813,764.25,766.97,757.85,759.28,762.09,-76.17,-922.36,428.22,-2.81,0.53,-2.21
4844,764.32,767.01,757.80,759.25,762.09,-70.80,-916.02,435.55,-1.07,0.27,0.08
4875,764.53,766.96,757.86,759.21,762.14,-66.41,-933.11,415.04,3.21,-2.92,2.23
4905,765.22,766.96,757.78,758.90,762.22,-78.61,-913.09,429.20,0.92,-0.38,0.43
4936,766.56,767.16,757.76,758.78,762.57,-73.73,-910.64,460.94,-9.66,5.44,0.65
4967,771.65,767.34,757.71,758.49,763.80,-71.29,-974.12,375.00,2.74,4.52,7.34
4997,778.53,767.24,757.76,758.40,765.49,-160.64,-943.36,380.37,11.85,2.92,15.83
5028,791.60,767.58,757.69,758.45,768.83,-100.59,-854.98,484.86,30.82,-18.69,-4.77
5059,808.46,768.27,757.88,758.52,773.28,-91.80,-911.13,469.24,34.95,-10.76,-27.13
5090,818.05,768.58,757.96,758.68,775.82,-195.31,-859.86,489.26,6.64,3.92,-1.21
5121,822.48,768.70,757.97,758.63,776.94,-56.15,-919.43,448.73,12.49,-3.33,-1.50
5152,823.96,768.85,758.11,758.72,777.41,-78.61,-907.71,487.79,3.79,-0.34,-5.05
5183,823.87,769.10,758.09,758.83,777.47,-84.96,-898.44,478.52,-1.27,1.61,-5.63
5214,822.60,769.45,758.22,759.20,777.36,-106.93,-917.48,437.01,6.43,-0.08,-4.53
5245,820.32,769.79,758.39,759.68,777.04,-52.25,-912.11,454.59,8.73,2.44,-5.15
5276,817.08,769.98,758.53,760.12,776.43,-55.66,-901.37,457.03,5.59,1.08,-4.49
5307,813.25,770.21,758.83,761.03,775.83,-63.48,-889.65,489.26,12.06,-2.34,-4.31
5338,810.10,770.40,758.98,761.31,775.20,-47.85,-889.16,502.44,7.69,-4.51,-4.47
5369,808.24,770.45,758.98,761.45,774.78,-51.27,-898.44,501.46,4.07,0.29,-1.37
5400,806.40,770.32,758.86,761.59,774.29,-49.80,-897.95,498.05,3.62,-2.60,-0.76
5431,805.90,770.49,759.10,761.95,774.36,-79.59,-892.09,483.89,3.15,1.11,-1.33
5462,802.36,770.81,759.22,762.63,773.75,-64.94,-892.58,486.33,0.41,-1.33,-4.85
5493,798.85,771.01,759.40,763.12,773.09,-54.69,-912.11,483.40,2.50,-0.85,-0.92
5524,795.93,770.97,759.47,763.26,772.41,-56.15,-882.32,501.46,-1.59,1.63,-1.30
5555,792.34,771.19,759.83,763.88,771.81,-68.36,-899.41,490.23,-3.30,-2.07,-2.67
5586,787.51,771.66,760.06,764.42,770.91,-50.29,-879.39,498.54,-0.21,-2.58,-2.23
5617,785.13,772.16,760.43,764.76,770.62,-60.06,-878.91,491.21,0.27,1.60,0.64
5648,783.49,772.56,760.74,765.08,770.47,-56.15,-874.51,516.60,-1.24,2.33,-3.05
5679,781.55,773.23,761.43,765.99,770.55,-62.99,-909.67,461.91,4.20,-0.24,-4.19
