currTime,s1,s2,s3,s4,s,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Frame,SubFrame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Weight
14837,785.2,767.79,753.69,757.01,765.92,-39.55,-859.86,567.38,-27.56,1.4,5.69,2968,0,53.5575,-2.39721,-383.959,9920.65,-0.182712,2194.2,-0.00051586,-25.8381,0,72
14868,774,765.61,753.07,754.98,761.92,-40.04,-884.28,540.53,-71.44,6.08,12.4,2975,0,40.2922,-6.52494,-294.925,8504.09,-530.202,1923.9,-1.7983,-28.8368,0,72
14899,762.74,763.54,752.74,754.25,758.32,7.32,-877.93,545.41,-103.85,11.79,21.37,2981,0,29.2379,-9.26873,-215.83,7258.62,-661.242,1862.2,-3.06529,-33.6347,0,72
14930,756.61,762.34,752.79,754.07,756.45,351.07,-988.77,688.48,-65.61,38.59,31.77,2987,0,15.3245,-9.35434,-119.615,4621.66,-1293,1426.42,-10.8306,-38.6489,0,72
14961,753.93,762.02,752.67,754.03,755.66,5.86,-1268.55,614.26,35.01,72.36,-8.12,2993,0,5.6339,-9.84698,-45.4558,2496.34,-1935.06,1338.21,-42.6898,-54.9715,0,72
15146,768.96,764.63,753.5,757.94,761.26,-82.03,-888.18,536.13,17.44,0.43,-4.01,3030,0,19.1071,-0.556189,-92.8097,1594.42,-125.29,2433.55,-1.35888,-17.1234,0,72
15177,770.15,764.95,753.64,758.15,761.72,-25.88,-841.8,551.27,5.47,2.76,-4.9,3036,0,28.5161,-7.83895,-165.499,6156.49,1067.88,2645.89,6.44927,-37.1987,0,72
15208,772.44,765.86,753.67,758.64,762.65,-35.16,-887.21,534.18,8.37,-3.25,-2.07,3043,0,26.7004,-4.96707,-200.334,7830.35,959.161,2318.92,4.78781,-39.0865,0,72
15239,776.24,766.69,753.88,759.5,764.08,-32.71,-885.25,538.09,17.24,-4.48,-1.84,3049,0,30.1685,-3.16991,-210.952,7970.24,1380.54,2564.6,6.54374,-37.7824,0,72
15270,780.86,767.26,754.05,760.44,765.65,-18.55,-870.12,545.41,18.21,-4.14,-2.3,3055,0,39.2446,-0.698513,-232.487,8735.61,2254.02,3150.23,9.69455,-37.5751,0,72
15300,785.41,767.58,754.15,761.13,767.07,-45.9,-849.61,560.06,9.95,-2.18,0.73,3061,0,47.5861,0.178868,-269.296,10284.4,2903.05,3431.03,10.7811,-38.1891,0,72
15331,788.39,767.89,754.25,761.43,767.99,-29.79,-863.28,578.12,5.51,-0.85,-2.18,3067,0,53.4647,-1.50455,-311.081,12236.5,3448.29,3878.51,11.0852,-39.3349,0,72
15362,790.69,767.96,754.32,761.45,768.6,-29.79,-843.26,573.24,5.06,-1.08,-0.73,3073,0,58.7933,-2.58274,-347.075,14304.4,4144.28,4367.43,11.9403,-41.214,0,72
15393,794.04,767.86,754.32,761.31,769.38,-13.67,-843.75,565.92,5.05,0.37,2.24,3080,0,64.1632,-1.09303,-373.152,15288.1,4660.56,4703.21,12.4896,-40.9703,0,72
15424,797.48,767.73,754.26,760.75,770.06,-22.95,-840.33,586.43,7.47,-1.02,1.97,3086,0,66.9327,-2.50127,-385.192,16512.3,4891.2,5350.16,12.6981,-42.8676,0,72
15455,801.04,767.57,753.84,758.23,770.17,-21.97,-885.25,568.85,21.49,-11.44,4.52,3092,0,68.5464,-4.43033,-400.358,18344.3,5091.65,5544.22,12.7177,-45.8195,0,72
15485,805.75,766.76,753.35,755.73,770.4,2.44,-832.03,592.77,-0.08,-9.63,16.11,3098,0,69.1297,-6.06203,-410.753,20272.7,5114.13,5915.8,12.4507,-49.3547,0,72
15515,810.95,765.33,752.87,754.48,770.91,2.44,-852.54,636.72,-18.34,-5.78,27.37,3104,0,66.4914,-8.85438,-409.305,22779.7,5061.68,6248.73,12.3665,-55.6551,0,72
