Devices
200
,,AMTI Accu     #1 - Force,,,AMTI Accu     #1 - Moment,,,AMTI Accu     #1 - CoP,,,AMTI Accu     #2 - Force,,,AMTI Accu     #2 - Moment,,,AMTI Accu     #2 - CoP,,,
Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
,,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm
43,0,0.38051,-0.249992,70.8043,-150.125,2.97597,-4.69768,-0.0321568,-2.12758,0,0,0,0,0,0,0,-515,0,0
44,0,0.336982,-0.186195,70.0264,-135.435,-58.6249,-83.6514,0.85224,-1.93453,0,0,0,0,0,0,0,-515,0,0
45,0,0.356276,-0.344294,71.059,-106.155,-62.5189,-17.0886,0.886707,-1.49972,0,0,0,0,0,0,0,-515,0,0
46,0,0.449373,-0.386875,78.0414,-120.791,-63.5701,-37.5187,0.808008,-1.53835,0,0,0,0,0,0,0,-515,0,0
47,0,0.566301,-0.397977,77.4411,-121.164,-36.1119,-54.7041,0.45696,-1.5625,0,0,0,0,0,0,0,-515,0,0
48,0,0.410389,-0.372276,74.3832,-122.756,-11.6399,-33.7032,0.155647,-1.65153,0,0,0,0,0,0,0,-515,0,0
49,0,0.372075,-0.595576,75.2344,-148.759,16.1255,-74.6386,-0.211243,-1.97479,0,0,0,0,0,0,0,-515,0,0
50,0,0.125439,-0.723652,74.2961,-144.21,13.6174,-60.813,-0.181328,-1.93932,0,0,0,0,0,0,0,-515,0,0
51,0,0.144651,-0.622234,72.9195,-74.1,25.5835,12.1662,-0.351832,-1.01294,0,0,0,0,0,0,0,-515,0,0
52,0,0.444739,-0.537079,72.3233,-56.5832,-35.531,-39.3965,0.493307,-0.782733,0,0,0,0,0,0,0,-515,0,0
53,0,0.44186,-0.496502,72.5631,-84.9466,-40.7189,-28.2882,0.562165,-1.16988,0,0,0,0,0,0,0,-515,0,0
54,0,0.261225,-0.576907,70.8971,-72.448,-45.628,-35.4393,0.646986,-1.01817,0,0,0,0,0,0,0,-515,0,0
55,0,0.302209,-0.417969,69.4911,-102.438,-34.9915,-72.3191,0.502555,-1.47627,0,0,0,0,0,0,0,-515,0,0
56,0,0.0894647,-0.334692,69.229,-96.3746,-16.3051,-68.2016,0.235512,-1.39208,0,0,0,0,0,0,0,-515,0,0
57,0,0.0229875,-0.339859,69.4869,-108.667,-14.0292,-61.0232,0.201841,-1.56322,0,0,0,0,0,0,0,-515,0,0
58,0,-0.0778472,-0.43205,69.3438,-122.422,-34.1969,61.3309,0.493665,-1.7655,0,0,0,0,0,0,0,-515,0,0
59,0,-0.0420887,-0.453369,69.4182,-87.6782,-47.115,75.4384,0.678639,-1.26377,0,0,0,0,0,0,0,-515,0,0
