Devices
200
,,AMTI Accu     #1 - Force,,,AMTI Accu     #1 - Moment,,,AMTI Accu     #1 - CoP,,,AMTI Accu     #2 - Force,,,AMTI Accu     #2 - Moment,,,AMTI Accu     #2 - CoP,,,
Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
,,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm
43,0,0.136522,-0.668586,35.4848,-93.3309,-21.3255,-223.446,0.623023,-2.6537,0,0,0,0,0,0,0,-515,0,0
44,0,0.184996,-0.697095,37.1502,-76.9647,22.387,-247.285,-0.610945,-2.10415,0,0,0,0,0,0,0,-515,0,0
45,0,0.126319,-0.668972,34.9631,-132.456,26.0372,-257.857,-0.738536,-3.78457,0,0,0,0,0,0,0,-515,0,0
46,0,0.130244,-0.678772,34.3476,-109.71,-15.3274,-167.857,0.446309,-3.19437,0,0,0,0,0,0,0,-515,0,0
47,0,0.220453,-0.657632,35.0018,-110.983,-23.4226,-171.142,0.661933,-3.19854,0,0,0,0,0,0,0,-515,0,0
48,0,0.175643,-0.594039,36.9918,-73.7902,-32.9398,-201.496,0.887184,-1.99854,0,0,0,0,0,0,0,-515,0,0
49,0,0.14853,-0.602518,35.8423,-77.9308,-17.4438,-163.929,0.486675,-2.16948,0,0,0,0,0,0,0,-515,0,0
50,0,0.151379,-0.465672,35.1569,-54.0922,-14.1327,-134.845,0.401295,-1.54098,0,0,0,0,0,0,0,-515,0,0
51,0,0.210467,-0.565356,35.1414,-85.0549,-5.7558,-198.375,0.163063,-2.42137,0,0,0,0,0,0,0,-515,0,0
52,0,-0.0549197,-0.568733,35.5042,-91.6248,-1.66006,-169.17,0.0367368,-2.5945,0,0,0,0,0,0,0,-515,0,0
53,0,0.036563,-0.603203,33.8333,-119.237,15.3101,-224.652,-0.451536,-3.52409,0,0,0,0,0,0,0,-515,0,0
54,0,-0.115089,-0.541882,34.0486,-107.459,9.65668,-171.299,-0.266738,-3.16487,0,0,0,0,0,0,0,-515,0,0
55,0,-0.0507881,-0.584265,34.866,-83.2571,41.1407,-111.799,-1.15796,-2.38889,0,0,0,0,0,0,0,-515,0,0
56,0,0.0239267,-0.628689,33.3359,-80.0639,-21.0679,-106.61,0.622221,-2.39901,0,0,0,0,0,0,0,-515,0,0
57,0,-0.00264124,-0.693461,32.6867,-68.1763,-4.46512,-188.499,0.117212,-2.08808,0,0,0,0,0,0,0,-515,0,0
58,0,0.00827643,-0.558447,34.9837,-61.0385,-40.2575,-179.89,1.17321,-1.75711,0,0,0,0,0,0,0,-515,0,0
59,0,-0.16502,-0.538582,37.3595,-59.903,-12.0556,-79.4429,0.324866,-1.61031,0,0,0,0,0,0,0,-515,0,0
60,0,-0.100283,-0.614041,36.6715,-90.3408,-18.4744,-79.4687,0.503382,-2.4628,0,0,0,0,0,0,0,-515,0,0
61,0,-0.038657,-0.492997,36.4627,-54.4306,10.4429,-153.639,-0.287856,-1.49571,0,0,0,0,0,0,0,-515,0,0
62,0,0.068448,-0.481254,36.1411,-77.3981,24.9458,-154.031,-0.690026,-2.1429,0,0,0,0,0,0,0,-515,0,0
63,0,0.33177,-0.413742,36.202,-63.8398,15.7992,-199.158,-0.427021,-1.764,0,0,0,0,0,0,0,-515,0,0
64,0,0.259473,-0.515737,35.4122,-62.0252,-13.2866,-174.083,0.380559,-1.75322,0,0,0,0,0,0,0,-515,0,0
65,0,0.257958,-0.622318,35.9258,-56.9624,-6.40557,-164.253,0.193347,-1.58743,0,0,0,0,0,0,0,-515,0,0
66,0,0.0582263,-0.45618,34.9298,-66.1986,-52.5516,-77.8607,1.50358,-1.89536,0,0,0,0,0,0,0,-515,0,0
67,0,0.15365,-0.399858,35.1629,-74.4613,7.72914,-26.3368,-0.213455,-2.11907,0,0,0,0,0,0,0,-515,0,0
68,0,0.323066,-0.662301,35.9022,-72.4055,22.9805,-42.8041,-0.633598,-2.01815,0,0,0,0,0,0,0,-515,0,0
69,0,0.596376,-0.704481,35.2213,-84.1447,-13.7827,-117.715,0.391329,-2.38842,0,0,0,0,0,0,0,-515,0,0
70,0,0.473164,-0.412332,35.8513,-95.8983,-21.1769,-126.964,0.58208,-2.68261,0,0,0,0,0,0,0,-515,0,0
71,0,0.330015,-0.298576,36.803,-77.8653,-58.4933,-58.2602,1.60984,-2.11601,0,0,0,0,0,0,0,-515,0,0
72,0,0.320978,-0.284392,34.4788,-71.2495,-85.8911,-39.4996,2.47695,-2.06395,0,0,0,0,0,0,0,-515,0,0
73,0,0.269276,-0.471021,34.2514,-68.0051,-36.0932,-168.932,1.07003,-1.97283,0,0,0,0,0,0,0,-515,0,0
74,0,0.168973,-0.650893,36.9848,-89.2047,-18.2806,-170.229,0.49208,-2.41315,0,0,0,0,0,0,0,-515,0,0
75,0,0.039972,-0.647393,35.6947,-78.5547,-21.7656,-139.769,0.595878,-2.21657,0,0,0,0,0,0,0,-515,0,0
76,0,0.058056,-0.587503,37.4296,-46.769,-38.6795,-120.276,1.02336,-1.24661,0,0,0,0,0,0,0,-515,0,0
77,0,0.162019,-0.629696,36.0209,-38.7722,-3.83216,-61.4888,0.111001,-1.08032,0,0,0,0,0,0,0,-515,0,0
78,0,0.335378,-0.593972,35.0876,-64.3279,-23.7672,-138.195,0.677351,-1.83277,0,0,0,0,0,0,0,-515,0,0
