Devices
200
,,AMTI Accu     #1 - Force,,,AMTI Accu     #1 - Moment,,,AMTI Accu     #1 - CoP,,,AMTI Accu     #2 - Force,,,AMTI Accu     #2 - Moment,,,AMTI Accu     #2 - CoP,,,
Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
,,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm
43,0,0.568918,-0.291044,36.7622,-48.5562,0.578187,-223.048,-0.0316573,-1.33443,0,0,0,0,0,0,0,-515,0,0
44,0,0.609829,-0.37408,36.3457,-91.3716,18.5485,-228.863,-0.510335,-2.51396,0,0,0,0,0,0,0,-515,0,0
45,0,0.480147,-0.301802,36.9953,-57.4598,-46.0757,-212.22,1.23508,-1.56037,0,0,0,0,0,0,0,-515,0,0
46,0,0.350899,-0.153736,39.7582,-132.362,0.891022,-145.727,0.0166647,-3.28308,0,0,0,0,0,0,0,-515,0,0
47,0,0.304895,-0.153892,43.8189,-7.79629,23.5349,-140.11,-0.538469,-0.270069,0,0,0,0,0,0,0,-515,0,0
48,0,0.340383,-0.21782,41.1167,-60.4132,-30.3309,-187.468,0.77804,-1.54829,0,0,0,0,0,0,0,-515,0,0
49,0,0.0376276,-0.165932,37.7857,-62.63,-36.8737,-202.335,0.971359,-1.64349,0,0,0,0,0,0,0,-515,0,0
50,0,0.0384492,-0.209051,38.4782,-16.1463,-50.4802,-165.245,1.30682,-0.431255,0,0,0,0,0,0,0,-515,0,0
51,0,0.152896,-0.09199,38.1535,-12.4971,-32.8233,-148.767,0.856125,-0.329103,0,0,0,0,0,0,0,-515,0,0
52,0,0.347757,-0.146715,37.3829,-112.464,-2.32396,-61.5831,0.0594556,-3.02033,0,0,0,0,0,0,0,-515,0,0
53,0,0.345323,-0.106836,37.5747,-76.4469,-34.3738,-32.3896,0.911374,-2.04062,0,0,0,0,0,0,0,-515,0,0
54,0,0.498993,-0.0307765,36.4706,-38.6049,-53.8455,-126.933,1.47881,-1.05449,0,0,0,0,0,0,0,-515,0,0
55,0,0.453245,-0.214162,35.9745,-132.325,4.27442,-126.256,-0.120081,-3.68037,0,0,0,0,0,0,0,-515,0,0
56,0,0.43091,-0.282405,37.038,-74.3407,-3.57966,-110.724,0.0888978,-2.03292,0,0,0,0,0,0,0,-515,0,0
57,0,0.515197,-0.272526,36.9037,-56.4484,-43.0904,-195.351,1.17145,-1.53135,0,0,0,0,0,0,0,-515,0,0
58,0,0.522798,-0.330062,35.7863,-101.767,-24.2631,-138.916,0.671007,-2.85448,0,0,0,0,0,0,0,-515,0,0
59,0,0.347607,-0.187675,35.2404,-94.9911,-23.4979,-126.254,0.667355,-2.69429,0,0,0,0,0,0,0,-515,0,0
60,0,0.391906,-0.175307,35.3142,-143.284,-2.61265,-184.997,0.0749675,-4.05517,0,0,0,0,0,0,0,-515,0,0
61,0,0.260553,-0.171323,35.065,-80.6003,-2.22837,-149.971,0.0641929,-2.29192,0,0,0,0,0,0,0,-515,0,0
62,0,0.141047,-0.319127,35.6857,-84.7916,25.6976,-176.691,-0.714226,-2.37015,0,0,0,0,0,0,0,-515,0,0
63,0,0.204549,-0.334837,42.9809,-61.051,15.6079,-132.5,-0.397064,-1.48609,0,0,0,0,0,0,0,-515,0,0
64,0,0.305863,-0.0980991,41.7561,-12.6472,-7.86286,-203.373,0.199837,-0.27903,0,0,0,0,0,0,0,-515,0,0
65,0,0.306406,-0.142888,38.268,-68.4598,-23.9653,-218.729,0.632262,-1.82551,0,0,0,0,0,0,0,-515,0,0
66,0,0.3469,-0.198974,39.2463,-120.432,-43.6053,-241.487,1.10544,-3.05933,0,0,0,0,0,0,0,-515,0,0
67,0,0.36475,-0.188129,38.534,-75.8913,-48.6272,-239.201,1.26228,-1.95425,0,0,0,0,0,0,0,-515,0,0
68,0,0.334879,-0.0999004,38.0864,-80.5021,-20.9683,-190.178,0.550537,-2.11368,0,0,0,0,0,0,0,-515,0,0
69,0,0.303758,-0.110107,37.9403,-63.1206,-37.6174,-109.461,0.992391,-1.66282,0,0,0,0,0,0,0,-515,0,0
