36,773.76,786.81,752.51,758.47,767.89,-55.18,-976.07,276.86,-0.82,-2.50,-2.16,-547.48
75,773.47,786.96,752.65,758.72,767.95,-48.83,-978.52,277.83,-1.75,1.56,-1.92,-544.41
110,773.39,787.18,752.61,758.79,767.99,-56.64,-986.33,277.83,0.44,-0.10,-0.78,-547.72
145,773.37,787.30,752.68,758.94,768.07,-66.89,-976.56,278.32,-1.27,-0.86,-1.06,-546.71
180,773.28,787.28,752.72,758.95,768.06,-46.39,-977.05,287.60,0.12,-0.08,-0.21,-545.12
215,773.39,787.36,752.66,758.93,768.09,-55.18,-981.45,278.32,-1.02,-1.63,1.49,-547.98
250,773.40,787.49,752.74,759.00,768.16,-50.29,-973.14,281.25,2.40,-2.82,0.16,-546.61
286,773.45,787.45,752.72,759.00,768.16,-49.32,-987.79,285.64,-0.56,0.90,1.95,-546.83
323,773.52,787.47,752.70,758.91,768.15,-49.32,-980.47,272.95,-0.14,-1.50,0.02,-548.37
359,773.66,787.52,752.70,758.84,768.18,-56.64,-973.14,271.48,0.27,2.46,-3.60,-549.20
394,773.74,787.41,752.68,758.69,768.13,-51.27,-970.70,288.57,-0.64,-1.12,-0.02,-549.17
429,773.77,787.37,752.67,758.65,768.12,-53.22,-979.98,271.97,-1.20,0.77,-0.22,-549.36
467,773.88,787.29,752.58,758.54,768.07,-56.15,-971.19,269.53,-1.12,0.16,0.96,-551.63
502,774.07,787.26,752.61,758.52,768.12,-54.20,-976.56,280.76,-1.11,-0.42,-0.49,-550.24
538,774.29,787.22,752.68,758.41,768.15,-42.97,-975.59,272.95,-1.64,1.37,-1.22,-548.27
573,774.20,787.09,752.62,758.34,768.06,-50.29,-976.56,287.60,-1.24,0.31,-2.22,-549.11
608,774.01,786.95,752.54,758.12,767.91,-56.15,-980.47,280.27,-1.88,1.47,-0.30,-550.84
644,774.11,786.94,752.54,758.03,767.91,-58.59,-973.63,278.32,-0.96,0.56,-1.88,-551.47
679,774.30,786.99,752.52,757.99,767.95,-62.99,-992.68,253.91,-1.47,0.38,-1.63,-552.91
715,774.48,786.91,752.57,758.01,767.99,-49.80,-971.19,270.51,-1.56,-0.80,-0.58,-550.33
750,774.09,786.93,752.54,758.19,767.94,-54.69,-977.05,261.23,-0.89,-1.23,-2.30,-550.05
786,773.59,786.98,752.57,758.53,767.92,-45.90,-965.82,274.41,-0.98,-1.82,-1.42,-548.01
821,773.33,787.26,752.69,758.88,768.04,-73.73,-975.59,289.55,0.67,0.31,-1.08,-546.32
856,773.17,787.65,752.75,759.09,768.16,-32.71,-984.37,299.80,1.98,-5.28,-2.04,-548.23
892,773.03,787.76,752.81,759.29,768.22,-16.60,-975.10,295.41,-0.40,0.47,-2.15,-546.47
927,773.12,788.03,752.80,759.46,768.35,-43.95,-974.12,290.53,3.36,2.56,-0.77,-548.52
963,773.14,788.07,752.87,759.60,768.42,-46.39,-974.12,288.57,-0.98,0.06,1.14,-545.72
1002,773.35,788.27,752.90,759.86,768.59,-50.78,-980.96,281.25,0.15,-2.84,-1.24,-545.52
1038,773.68,788.52,752.85,760.03,768.77,-55.18,-988.28,279.79,2.08,0.30,0.70,-549.64
1073,773.93,788.93,752.93,760.19,768.99,-47.85,-984.86,288.09,1.92,0.19,-0.18,-551.88
1108,774.05,789.32,753.02,760.37,769.19,-48.83,-980.47,272.95,1.29,0.20,-1.92,-553.80
1144,774.42,789.86,753.02,760.61,769.48,-41.02,-974.12,271.97,-0.11,2.37,-2.04,-561.48
1179,774.50,790.64,753.10,760.80,769.76,-43.46,-968.26,289.06,-0.34,3.87,-0.94,-569.58
1215,774.54,791.54,753.20,761.00,770.07,-53.71,-968.75,285.16,-0.34,0.21,-3.16,-579.06
1250,774.45,792.41,753.22,761.22,770.32,-62.50,-978.52,279.79,-1.70,1.11,-1.67,-591.33
1285,774.36,793.24,753.32,761.44,770.59,-45.90,-974.12,289.06,-2.62,2.28,1.00,-599.45
1321,774.02,794.02,753.35,761.72,770.78,-44.43,-985.84,282.23,-4.02,-3.47,0.64,-609.31
1356,773.66,795.00,753.49,762.01,771.04,-49.80,-963.87,290.53,-3.10,0.44,-1.36,-617.26
1391,773.42,795.97,753.57,762.37,771.33,-51.76,-979.98,273.93,-0.44,1.46,0.24,-625.59
1427,772.95,797.03,753.74,762.77,771.62,-43.46,-965.82,275.88,-2.37,-1.41,-0.44,-632.59
1462,772.25,798.04,753.85,763.32,771.86,-46.39,-970.70,281.25,-1.93,-0.99,-1.90,-641.45
1498,771.33,798.97,753.98,763.83,772.03,-40.53,-985.35,297.85,-1.01,-0.66,-0.42,-648.18
1533,770.52,799.68,754.17,764.37,772.18,-42.48,-980.47,268.07,-1.42,3.15,-2.60,-650.85
1568,770.00,800.06,754.28,764.77,772.28,-50.29,-980.47,278.81,-0.02,-0.34,-0.89,-652.06
1603,769.68,800.47,754.38,765.19,772.43,-40.53,-973.63,280.27,0.57,1.53,-1.34,-654.51
1638,769.77,800.60,754.47,765.47,772.57,-55.18,-985.35,280.76,0.61,0.45,-0.11,-654.34
1673,769.87,800.73,754.56,765.68,772.71,-45.41,-992.19,280.27,0.02,3.92,-0.47,-654.18
1711,769.95,800.91,754.58,765.86,772.83,-34.67,-978.52,283.69,-0.20,-1.04,1.31,-655.66
1746,770.16,801.21,754.64,765.93,772.99,-41.02,-1007.32,293.46,-2.37,1.20,1.86,-656.38
1781,770.40,801.45,754.63,765.89,773.09,-53.22,-977.05,267.09,-0.63,1.82,0.27,-660.03
1833,770.97,801.94,754.55,765.46,773.23,-40.04,-971.19,280.76,-2.24,1.06,-2.06,-665.41
1868,771.66,802.17,754.52,765.21,773.39,-38.09,-974.12,264.65,-0.18,-0.08,0.07,-666.03
1903,772.24,802.12,754.41,764.92,773.42,-50.29,-970.70,277.34,0.32,2.37,-1.11,-664.74
1938,772.88,802.00,754.34,764.72,773.48,-75.20,-994.14,280.76,1.33,-2.89,-1.02,-663.12
1973,773.20,801.73,754.30,764.55,773.44,-95.21,-973.63,289.06,-2.75,-3.06,0.32,-661.28
2009,773.71,801.61,754.27,764.51,773.53,-112.30,-981.45,277.34,0.50,-2.06,-2.02,-659.52
2044,773.99,801.32,754.21,764.33,773.46,-95.21,-965.82,294.43,2.33,5.64,2.92,-657.95
2079,774.70,800.87,754.16,764.11,773.46,-89.36,-968.75,289.06,2.73,-2.31,-0.27,-654.69
2115,775.75,800.13,754.07,763.85,773.45,-52.25,-994.14,284.18,1.67,4.92,0.57,-649.77
2150,777.02,799.09,754.00,763.30,773.35,-35.64,-965.82,283.20,0.13,0.19,-1.72,-642.07
2186,777.85,798.11,753.89,762.78,773.16,-10.25,-1083.50,307.13,-5.72,-8.88,-2.21,-636.21
2221,778.51,797.21,753.77,762.57,773.01,-167.48,-865.72,281.74,3.74,4.89,2.47,-631.02
2256,779.23,796.41,753.77,762.40,772.95,-118.65,-957.52,306.64,1.17,-7.54,-0.41,-621.91
2292,779.21,795.86,753.62,762.27,772.74,-55.66,-974.61,289.06,-0.33,-4.24,-0.81,-621.70
2327,778.98,795.19,753.62,762.39,772.54,-42.97,-973.63,275.39,-1.54,0.61,-1.11,-614.79
2362,778.93,794.81,753.68,762.60,772.50,-51.27,-970.70,284.67,0.09,-0.46,-0.42,-609.08
2398,778.86,794.65,753.73,762.66,772.47,-52.25,-976.56,283.20,2.53,1.52,0.40,-605.74
2433,778.45,794.42,753.69,762.78,772.33,-31.74,-1040.53,244.14,5.53,1.15,0.64,-604.92
2469,778.40,794.36,753.78,762.78,772.33,-54.69,-962.40,260.74,1.46,-0.02,-2.97,-601.24
