currTime,s1,s2,s3,s4,s,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,GRF,Frame,SubFrame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Weight
14200,800.03,767.42,756.03,763.41,771.72,-35.16,-765.62,661.13,-2.22,-0.69,-2.08,-118.45,2841,0,16.0045,3.91087,-350.076,18600.6,-28957.4,-2808.12,-580.718,-53.1334,0,56
14237,797.97,767.26,756.09,763.5,771.21,-47.85,-777.34,669.92,-2.74,-1.33,0.37,-109.91,2848,0,16.2804,2.73894,-330.699,17432.1,-27330.9,-2628.36,-580.646,-52.7126,0,56
14273,795.6,767.22,756.01,763.49,770.58,-53.22,-772.95,668.46,-2.02,-0.08,-1.5,-103.29,2856,0,15.6436,3.26668,-318.851,16218.9,-26334.4,-2750.87,-580.591,-50.8662,0,56
14308,794,767.2,756.01,763.54,770.19,-44.92,-782.71,664.06,-3.23,0.69,-1.86,-98.52,2863,0,15.5537,3.93231,-307.263,14969.6,-25511.3,-2962.81,-581.028,-48.7186,0,56
14344,792.23,767.33,756.12,763.64,769.83,-45.9,-763.67,670.9,-3.51,2.74,-1.33,-92.09,2870,0,15.6823,3.89342,-297.857,14097.7,-24632.5,-2981.11,-580.699,-47.3305,0,56
14379,791.16,767.35,756.04,763.69,769.56,-44.92,-778.32,680.66,0.44,0.44,0.34,-91.31,2877,0,16.2377,4.65769,-291.554,13054.5,-24169.5,-3138.37,-580.899,-44.7752,0,56
14415,790.52,767.48,756.13,763.88,769.5,-43.46,-787.6,669.92,-1.14,-0.46,-1.85,-90.74,2884,0,17.0042,5.61524,-287.873,12274.2,-23765.9,-3196.25,-580.557,-42.6374,0,56
14453,789.24,767.69,756.12,764.15,769.3,-50.78,-763.18,683.11,-0.35,-0.37,0.23,-92.13,2892,0,17.7739,5.64781,-287.725,12078.3,-23687.4,-3358.05,-580.327,-41.9786,0,56
14488,788.48,767.81,756.19,764.18,769.17,-47.36,-779.79,669.43,-1.9,0.4,0.08,-89.24,2899,0,18.4701,6.72813,-285.602,11234.2,-23582.5,-3608.47,-580.571,-39.335,0,56
14523,787.44,767.93,756.18,764.38,768.98,-49.32,-780.76,664.55,-2.09,-0.48,-1.4,-89.86,2906,0,18.5878,7.10481,-285.202,10906.8,-23511.9,-3658.08,-580.44,-38.2426,0,56
14559,786.45,767.94,756.23,764.58,768.8,-37.6,-773.44,667.48,-1.18,-1.69,-0.54,-88.43,2913,0,19.0468,7.19033,-280.725,10250.5,-23063.1,-3689.23,-580.156,-36.5142,0,56
14594,785.92,768.04,756.14,764.51,768.65,-34.18,-778.81,660.64,-1.04,0.31,1.52,-88.47,2920,0,19.0762,7.30591,-279.192,9689.96,-22962.8,-3848.91,-580.247,-34.7072,0,56
14629,785.67,768.16,756.21,764.73,768.69,-49.32,-791.5,655.76,-2.05,-0.36,0.31,-90,2927,0,18.6512,7.99147,-276.967,9168.03,-22871.6,-3843.7,-580.579,-33.1015,0,56
14667,785.24,768.36,756.27,764.68,768.63,-36.62,-772.95,659.67,-1.25,0.37,-0.02,-87.94,2934,0,19.51,7.54075,-277.435,9130.17,-22756.7,-3771.19,-580.025,-32.9093,0,56
14702,785.12,768.46,756.28,764.65,768.63,-36.62,-769.04,676.76,-0.93,0.26,-1.78,-87.81,2941,0,20.3209,8.7588,-277.459,8825.25,-22608.8,-3729.95,-579.485,-31.8074,0,56
14738,785.08,768.64,756.25,764.45,768.6,-35.64,-783.2,667.97,-0.4,3.45,-3.32,-86.63,2949,0,20.0972,8.03851,-275.83,8615.21,-22442.1,-3725.89,-579.362,-31.2338,0,56
14773,784.92,768.93,756.2,764.54,768.65,-42.97,-780.27,659.67,-0.66,-1.11,-1.27,-91.16,2956,0,20.5745,8.26015,-274.67,8660.56,-22207.7,-3788.31,-578.852,-31.5308,0,56
14809,784.89,769.06,756.28,764.43,768.66,-33.69,-787.6,651.86,-1.1,2.73,-2.66,-88.34,2963,0,21.609,8.6009,-273.586,8622.53,-21913.3,-3731.39,-578.097,-31.5167,0,56
14844,785.04,769.28,756.3,764.36,768.74,-53.71,-781.25,662.11,0.47,1.79,-2.83,-89.17,2970,0,21.4092,9.2188,-272.717,8333.71,-21775.4,-3953.86,-577.846,-30.5581,0,56
14887,784.86,769.32,756.29,764.06,768.63,-50.29,-791.99,658.2,-1.63,1.11,-1.2,-84.89,2978,0,21.5262,8.28501,-273.629,8484.59,-21709.9,-4151.21,-577.341,-31.0078,0,56
14922,785.02,769.1,756.19,763.75,768.52,-41.5,-777.83,650.88,-1.47,0.11,0.08,-81.63,2985,0,22.4772,9.09792,-272.636,8480.83,-21525.8,-4278.34,-576.954,-31.1068,0,56
14958,784.99,768.66,756.16,763.5,768.33,-47.85,-781.74,661.62,-3.56,-1.51,-3.5,-74.87,2993,0,21.9841,8.65493,-270.401,8771.48,-21398.5,-4447.88,-577.136,-32.4388,0,56
14993,785.25,768.22,756.16,763.29,768.23,-32.23,-764.16,673.34,-1.34,2.33,-2.01,-69.2,3000,0,22.1869,7.50815,-267.227,9120.98,-21369.9,-4514.97,-577.969,-34.1319,0,56
15029,786.1,767.85,756.17,763.17,768.32,-37.6,-794.43,663.09,2.92,-1.5,-2.76,-66.99,3007,0,21.9772,7.97388,-265.715,9530.98,-21468.1,-4639.94,-578.794,-35.869,0,56
15068,785.68,767.19,756.12,762.8,767.95,-29.3,-780.76,654.3,-2.89,-3.6,-0.48,-56.09,3015,0,22.3679,7.14018,-274.12,10653.4,-22434.8,-4670.74,-579.843,-38.8639,0,56
15104,785.33,766.55,756.08,762.66,767.66,-33.69,-780.76,665.53,-2.53,1,1.87,-48.76,3022,0,22.7716,7.79123,-271.36,11018.5,-22353.4,-4495.82,-580.375,-40.6052,0,56
15140,785.53,766.09,756.11,762.59,767.58,-37.6,-788.09,673.83,1.05,-1.89,-0.32,-43.94,3029,0,21.445,8.14075,-261.463,10761.5,-21661.5,-4368.37,-580.847,-41.1588,0,56
