currTime,s1,s2,s3,s4,s,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Frame,SubFrame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
1571,0,0,0,0,0,-23.44,-854.49,558.59,1.06,0.25,-1.48,314,0,0,0,0,0,0,0,0,0,0
1601,0,0,0,0,0,-32.23,-867.68,562.01,4.33,-1.31,-1.01,320,0,0,0,0,0,0,0,0,0,0
1631,0,0,0,0,0,-35.64,-852.05,577.64,5.82,-1.32,-2.18,326,0,0,0,0,0,0,0,0,0,0
1662,0,0,0,0,0,-20.51,-862.3,571.29,1.08,1.18,0.63,332,0,0,0,0,0,0,0,0,0,0
1692,0,0,0,0,0,-20.02,-856.45,576.66,2.34,-2.69,-2.49,338,0,0,0,0,0,0,0,0,0,0
1723,0,0,0,0,0,-27.34,-857.42,562.01,1.24,-0.05,0.32,345,0,0,0,0,0,0,0,0,0,0
1754,0,0,0,0,0,-27.34,-855.47,564.94,-1.29,-0.53,-0.4,351,0,0,0,0,0,0,0,0,0,0
1785,0,0,0,0,0,-23.44,-842.29,580.08,-0.05,0.5,-2.18,357,0,0,0,0,0,0,0,0,0,0
1815,0,0,0,0,0,-31.25,-863.28,564.94,0.96,-0.4,-1.21,363,0,0,0,0,0,0,0,0,0,0
1846,0,0,0,0,0,-28.32,-862.79,555.18,2.34,-1.73,-1.67,369,0,0,0,0,0,0,0,0,0,0
1877,0,0,0,0,0,-24.9,-851.56,548.34,5.29,-3.66,0.67,375,0,0,0,0,0,0,0,0,0,0
1907,0,0,0,0,0,-17.09,-852.54,569.82,6.8,-6.13,-0.76,381,0,0,0,0,0,0,0,0,0,0
1938,0,0,0,0,0,-17.09,-847.17,579.59,2.62,-1.31,-0.15,388,0,0,0,0,0,0,0,0,0,0
1969,0,0,0,0,0,-13.67,-839.84,572.75,3.66,-2.46,0.56,394,0,0,0,0,0,0,0,0,0,0
2000,0,0,0,0,0,-16.6,-830.57,587.89,2.85,-3.74,0.98,400,0,0,0,0,0,0,0,0,0,0
2031,0,0,0,0,0,-14.16,-837.4,573.24,0.41,-1.13,3.14,406,0,0,0,0,0,0,0,0,0,0
2062,0,0,0,0,0,-10.74,-845.7,586.91,-0.65,-2.82,-2.92,412,0,0,0,0,0,0,0,0,0,0
2093,0,0,0,0,0,-21.48,-842.29,581.54,-1.13,-0.35,2.98,419,0,0,0,0,0,0,0,0,0,0
2124,0,0,0,0,0,-17.09,-845.21,576.17,0.34,2.91,-0.27,425,0,0,0,0,0,0,0,0,0,0
2155,0,0,0,0,0,-9.77,-852.05,588.38,-2.05,1.13,-1.72,431,0,0,0,0,0,0,0,0,0,0
2186,0,0,0,0,0,-6.35,-851.56,562.01,2.66,0.02,-3.16,437,0,0,0,0,0,0,0,0,0,0
2217,0,0,0,0,0,-6.35,-840.82,565.92,0.62,1.44,-4.21,443,0,0,0,0,0,0,0,0,0,0
2248,0,0,0,0,0,-0.49,-828.61,586.91,-3.32,0.7,-2.14,450,0,0,0,0,0,0,0,0,0,0
2279,0,0,0,0,0,-23.93,-838.38,588.87,-1.47,1.87,1.87,456,0,0,0,0,0,0,0,0,0,0
2310,0,0,0,0,0,-12.7,-857.42,583.98,-0.47,-0.16,-2.02,462,0,0,0,0,0,0,0,0,0,0
2341,0,0,0,0,0,-5.86,-818.85,572.27,0.73,1.79,-2.18,468,0,0,0,0,0,0,0,0,0,0
2372,0,0,0,0,0,9.77,-807.13,598.63,-5.26,2.35,5.78,474,0,0,0,0,0,0,0,0,0,0
2403,0,0,0,0,0,-16.6,-843.75,573.24,-4.67,2.3,6.83,481,0,0,0,0,0,0,0,0,0,0
2434,0,0,0,0,0,-59.08,-885.74,558.59,-9.56,5.17,-0.27,487,0,0,0,0,0,0,0,0,0,0
2465,0,0,0,0,0,-15.14,-840.82,564.94,-1.55,2.65,0.45,493,0,0,0,0,0,0,0,0,0,0
2496,0,0,0,0,0,-21.48,-848.14,557.62,-3.07,0.09,1.6,499,0,0,0,0,0,0,0,0,0,0
2527,0,0,0,0,0,-22.46,-842.29,567.87,-4.09,0.98,0.15,505,0,0,0,0,0,0,0,0,0,0
2558,0,0,0,0,0,-19.53,-850.1,555.18,-6.33,1.95,2.84,512,0,0,0,0,0,0,0,0,0,0
2589,0,0,0,0,0,-27.34,-855.96,566.89,-5.78,4.15,6.16,518,0,0,0,0,0,0,0,0,0,0
2620,0,0,0,0,0,-49.8,-875.98,538.57,-4.8,-0.37,3.37,524,0,0,0,0,0,0,0,0,0,0
2651,0,0,0,0,0,-25.88,-840.33,573.73,-7.02,1.21,3.13,530,0,0,0,0,0,0,0,0,0,0
2682,0,0,0,0,0,-55.66,-870.61,543.95,-12.12,3.57,4.59,536,0,0,0,0,0,0,0,0,0,0
2713,0,0,0,0,0,-41.5,-897.46,539.55,-11.69,0.24,-0.4,543,0,0,0,0,0,0,0,0,0,0
2744,0,0,0,0,0,-205.08,-915.53,474.12,-13.55,-10.66,9.31,549,0,0,0,0,0,0,0,0,0,0
2775,0,0,0,0,0,-257.32,-1110.84,330.57,-1.96,-51.87,26.95,555,0,0,0,0,0,0,0,0,0,0
2806,0,0,0,0,0,-135.74,-823.24,247.07,4.63,-82.24,39.73,561,0,0,0,0,0,0,0,0,0,0
2837,0,0,0,0,0,-29.3,-1006.84,-83.01,-129.34,-15.89,28.82,567,0,0,0,0,0,0,0,0,0,0
2868,0,0,0,0,0,-482.91,-531.25,428.71,-18.57,-30.56,21.83,574,0,0,0,0,0,0,0,0,0,0
2899,0,0,0,0,0,-149.9,-986.82,283.69,-34.79,8.83,25.69,580,0,0,0,0,0,0,0,0,0,0
2930,0,0,0,0,0,-157.71,-1053.71,243.16,-28.03,8.13,33.85,586,0,0,0,0,0,0,0,0,0,0
2961,0,0,0,0,0,-119.14,-981.45,269.53,-27.69,-10.87,30.93,592,0,0,0,0,0,0,0,0,0,0
2992,0,0,0,0,0,-68.85,-927.73,310.06,-23.15,-29.87,20.36,598,0,0,0,0,0,0,0,0,0,0
3023,0,0,0,0,0,-6.35,-1030.27,347.17,-19.5,-39.59,8.53,605,0,0,0,0,0,0,0,0,0,0
3054,0,0,0,0,0,78.12,-933.11,385.74,-36.82,-42.76,5.09,611,0,0,0,0,0,0,0,0,0,0
3085,0,0,0,0,0,62.99,-985.35,439.45,-44.9,-33.92,2.98,617,0,0,0,0,0,0,0,0,0,0
3116,0,0,0,0,0,91.31,-976.07,473.63,-30.76,-32.26,9.05,623,0,0,0,0,0,0,0,0,0,0
3147,0,0,0,0,0,108.89,-965.33,490.72,-9.55,-37.82,10.58,629,0,0,0,0,0,0,0,0,0,0
3178,0,0,0,0,0,127.44,-875.98,489.26,0.94,-30.66,23.76,636,0,0,0,0,0,0,0,0,0,0
3208,0,0,0,0,0,119.63,-849.12,519.53,-5.99,-21.38,24.5,642,0,0,0,0,0,0,0,0,0,0
3239,0,0,0,0,0,59.57,-918.95,530.76,1.88,-25.09,20.63,648,0,0,0,0,0,0,0,0,0,0
3269,0,0,0,0,0,45.41,-871.09,492.19,16.92,-33.65,5.89,654,0,0,0,0,0,0,0,0,0,0
3299,0,0,0,0,0,49.32,-924.32,515.62,25.5,-42.56,1.33,660,0,0,0,0,0,0,0,0,0,0
3330,0,0,0,0,0,11.23,-878.42,502.44,34.17,-42.21,4.72,666,0,0,0,0,0,0,0,0,0,0
3360,0,0,0,0,0,-17.58,-863.77,515.14,20.1,-34.9,3.59,672,0,0,0,0,0,0,0,0,0,0
3391,0,0,0,0,0,-59.08,-892.58,499.51,26.82,-40.08,0.79,678,0,0,0,0,0,0,0,0,0,0
3422,0,0,0,0,0,-70.8,-799.32,496.09,19.68,-40.47,-5.52,684,0,0,0,0,0,0,0,0,0,0
3453,0,0,0,0,0,-70.8,-843.75,498.05,19.2,-45.4,-5.2,691,0,0,0,0,0,0,0,0,0,0
3483,0,0,0,0,0,-62.5,-709.96,443.36,21.18,-43.81,-4.58,697,0,0,0,0,0,0,0,0,0,0
3514,0,0,0,0,0,-88.38,-689.45,449.22,-3.51,-38.74,-8.53,703,0,0,0,0,0,0,0,0,0,0
3545,0,0,0,0,0,1151.86,-182.62,679.69,246.19,35.81,-34.16,709,0,0,0,0,0,0,0,0,0,0
3576,0,0,0,0,0,797.36,-2000,169.43,-76.27,34.03,-28.67,715,0,0,0,0,0,0,0,0,0,0
3606,0,0,0,0,0,-4.39,-1110.35,655.76,-42.56,15.57,-11.15,721,0,0,0,0,0,0,0,0,0,0
3637,0,0,0,0,0,52.25,-793.46,596.19,-7.47,-20.05,-3.18,727,0,0,0,0,0,0,0,0,0,0
3668,0,0,0,0,0,-69.82,-973.14,403.32,28.98,12.34,6.02,734,0,0,0,0,0,0,0,0,0,0
3699,0,0,0,0,0,-26.37,-880.37,561.04,28.56,-3.13,4.51,740,0,0,0,0,0,0,0,0,0,0
3730,0,0,0,0,0,-46.39,-884.28,536.13,-4.59,-1.86,-1.54,746,0,0,0,0,0,0,0,0,0,0
3761,0,0,0,0,0,-16.11,-873.54,525.39,4.48,6.49,1.32,752,0,0,0,0,0,0,0,0,0,0
3792,0,0,0,0,0,-34.18,-922.85,532.71,-1.26,9.75,7.44,758,0,0,0,0,0,0,0,0,0,0
3823,0,0,0,0,0,-120.12,-903.81,467.29,6.69,-0.76,8.57,765,0,0,0,0,0,0,0,0,0,0
3854,0,0,0,0,0,-42.97,-874.51,545.41,16.9,-3.28,1.25,771,0,0,0,0,0,0,0,0,0,0
3885,0,0,0,0,0,-67.38,-860.35,539.06,10.3,2.96,3.96,777,0,0,0,0,0,0,0,0,0,0
3916,0,0,0,0,0,-56.64,-867.19,528.32,12.66,-1.11,-4.34,783,0,0,0,0,0,0,0,0,0,0
3947,0,0,0,0,0,-56.64,-867.68,520.51,16.06,-8.52,-12.07,789,0,0,0,0,0,0,0,0,0,0
3978,0,0,0,0,0,-16.11,-848.63,581.54,0.79,3.45,-0.69,796,0,0,0,0,0,0,0,0,0,0
4011,0,0,0,0,0,-4.88,-890.14,550.29,8.13,-11.21,-5.24,802,0,0,0,0,0,0,0,0,0,0
4042,0,0,0,0,0,-52.25,-850.1,567.38,12.2,-6.52,0.15,808,0,0,0,0,0,0,0,0,0,0
4073,0,0,0,0,0,-35.16,-858.4,558.59,8.47,-3.53,-0.5,815,0,0,0,0,0,0,0,0,0,0
4104,0,0,0,0,0,-25.39,-902.34,548.34,16.15,-4.64,-3.8,821,0,0,0,0,0,0,0,0,0,0
4135,0,0,0,0,0,-1.95,-866.7,582.03,15.02,-8.05,-1,827,0,0,0,0,0,0,0,0,0,0
4166,0,0,0,0,0,-26.86,-843.75,602.54,10.01,-6.7,-0.53,833,0,0,0,0,0,0,0,0,0,0
4197,0,0,0,0,0,-46.39,-858.89,583.5,12.71,-1.51,0.03,839,0,0,0,0,0,0,0,0,0,0
4228,0,0,0,0,0,-12.7,-811.04,617.19,11.92,-4.34,-1.59,846,0,0,0,0,0,0,0,0,0,0
4259,0,0,0,0,0,-21.48,-817.38,596.68,8.02,-0.56,-1.64,852,0,0,0,0,0,0,0,0,0,0
4290,0,0,0,0,0,-24.9,-826.17,609.37,4.82,0.43,-2.47,858,0,0,0,0,0,0,0,0,0,0
4321,0,0,0,0,0,-18.55,-832.52,605.96,6.6,0.62,-0.6,864,0,0,0,0,0,0,0,0,0,0
4352,0,0,0,0,0,-24.41,-806.15,617.19,3.31,0.9,-2.6,870,0,0,0,0,0,0,0,0,0,0
4383,0,0,0,0,0,-14.65,-832.03,616.21,1.74,2.52,-3.27,877,0,0,0,0,0,0,0,0,0,0
4414,0,0,0,0,0,-30.27,-832.52,617.68,-2.56,-0.31,-0.99,883,0,0,0,0,0,0,0,0,0,0
4445,0,0,0,0,0,-46.39,-825.68,613.28,-1.42,5.22,1.15,889,0,0,0,0,0,0,0,0,0,0
4476,0,0,0,0,0,-42.48,-833.01,568.85,-6.44,2.84,-3.13,895,0,0,0,0,0,0,0,0,0,0
4507,0,0,0,0,0,-27.34,-850.59,580.08,1.77,-1.34,-1.25,901,0,0,0,0,0,0,0,0,0,0
4538,0,0,0,0,0,-35.16,-812.99,608.89,9.48,-2.26,-1.97,908,0,0,0,0,0,0,0,0,0,0
4569,0,0,0,0,0,-36.13,-829.59,588.38,2.95,-3.91,-0.24,914,0,0,0,0,0,0,0,0,0,0
4600,0,0,0,0,0,-8.3,-816.41,614.26,1.14,-2.65,1.15,920,0,0,0,0,0,0,0,0,0,0
4631,0,0,0,0,0,-24.9,-819.34,667.48,4.44,-0.63,1.8,926,0,0,0,0,0,0,0,0,0,0
4661,0,0,0,0,0,-8.79,-823.24,609.37,6.33,-1.13,1.12,932,0,0,0,0,0,0,0,0,0,0
4693,0,0,0,0,0,-26.86,-843.26,586.43,2.79,-3.32,-1.79,939,0,0,0,0,0,0,0,0,0,0
4724,0,0,0,0,0,-48.34,-822.27,580.08,-0.38,-1.37,0.94,945,0,0,0,0,0,0,0,0,0,0
4754,0,0,0,0,0,-24.41,-807.62,644.04,-2.12,2.36,-0.59,951,0,0,0,0,0,0,0,0,0,0
4785,0,0,0,0,0,-34.18,-858.89,575.2,-7.15,-1.03,1.44,957,0,0,0,0,0,0,0,0,0,0
4817,0,0,0,0,0,-32.71,-835.45,599.12,5.61,-3.89,0.87,963,0,0,0,0,0,0,0,0,0,0
4847,0,0,0,0,0,-19.04,-825.68,600.1,5.97,-4,-1.29,969,0,0,0,0,0,0,0,0,0,0
4878,0,0,0,0,0,-32.23,-808.59,609.37,4.47,-5.35,0.22,976,0,0,0,0,0,0,0,0,0,0
4908,0,0,0,0,0,-12.21,-827.15,633.79,2.79,-6.02,0.85,982,0,0,0,0,0,0,0,0,0,0
4939,0,0,0,0,0,-38.09,-819.82,617.68,2.34,-3.91,2.34,988,0,0,0,0,0,0,0,0,0,0
4969,0,0,0,0,0,-29.79,-803.22,617.19,6.8,-4.66,4.47,994,0,0,0,0,0,0,0,0,0,0
5000,0,0,0,0,0,-25.88,-805.66,624.02,7.69,-6.93,2.23,1000,0,0,0,0,0,0,0,0,0,0
5030,0,0,0,0,0,-32.23,-836.91,609.86,4.87,-5.34,4.23,1006,0,0,0,0,0,0,0,0,0,0
5061,0,0,0,0,0,-22.95,-845.21,604,-1.35,-9.02,6.85,1012,0,0,0,0,0,0,0,0,0,0
5092,0,0,0,0,0,27.83,-932.13,610.84,-8.03,-7.63,20.51,1018,0,0,0,0,0,0,0,0,0,0
5122,0,0,0,0,0,-78.12,-855.47,702.15,-3.61,10.37,37.77,1024,0,0,0,0,0,0,0,0,0,0
5153,0,0,0,0,0,-884.77,-1233.4,295.41,-29.36,-44.85,110.28,1031,0,0,0,0,0,0,0,0,0,0
5184,0,0,0,0,0,-743.16,-2000,70.31,113.51,-250.14,155.99,1037,0,0,0,0,0,0,0,0,0,0
5214,0,0,0,0,0,621.58,-355.47,907.23,250.13,-250.14,190.05,1043,0,0,0,0,0,0,0,0,0,0
5245,0,0,0,0,0,-258.3,-1352.05,-13.18,-82.82,-250.14,196.35,1049,0,0,0,0,0,0,0,0,0,0
5276,0,0,0,0,0,-200.68,-1157.23,362.3,0.22,-250.14,84.03,1055,0,0,0,0,0,0,0,0,0,0
5307,0,0,0,0,0,-184.57,-886.23,486.82,-72.6,-250.14,98.86,1061,0,0,0,0,0,0,0,0,0,0
5338,0,0,0,0,0,-232.91,-870.12,362.3,-74.47,-250.14,68.4,1068,0,0,0,0,0,0,0,0,0,0
5369,0,0,0,0,0,-164.06,-891.6,263.67,-88.85,-244.85,42.98,1074,0,0,0,0,0,0,0,0,0,0
5400,0,0,0,0,0,-135.25,-931.64,214.84,-65.67,-209.01,39.4,1080,0,0,0,0,0,0,0,0,0,0
5431,0,0,0,0,0,-43.95,-940.92,174.8,-18.5,-164.85,56.77,1086,0,0,0,0,0,0,0,0,0,0
5462,0,0,0,0,0,23.93,-847.66,120.61,21.74,-102.17,67.49,1092,0,0,0,0,0,0,0,0,0,0
5493,0,0,0,0,0,-14.65,-785.64,41.5,47.02,-57.29,69.6,1099,0,0,0,0,0,0,0,0,0,0
5523,0,0,0,0,0,-27.34,-744.63,10.74,51.47,-37.97,77.85,1105,0,0,0,0,0,0,0,0,0,0
5555,0,0,0,0,0,-29.3,-798.83,39.06,69.21,-34.93,80.08,1111,0,0,0,0,0,0,0,0,0,0
5586,0,0,0,0,0,41.99,-781.25,83.01,71.82,-12.36,82,1117,0,0,0,0,0,0,0,0,0,0
5617,0,0,0,0,0,95.21,-832.52,171.87,33.51,47.11,114.98,1123,0,0,0,0,0,0,0,0,0,0
