currTime,s1,s2,s3,s4,s,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Frame,SubFrame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Weight
19485,817.1,765.63,753.14,758.54,773.6,-51.76,-878.42,539.06,-10.16,2.86,-0.18,3898,0,45.8165,-0.531111,-455.533,46061.6,-13531.9,5371.41,-29.7059,-101.116,0,60
19516,811.72,765.12,753.01,757.85,771.93,-40.04,-872.07,525.88,-6.33,-0.27,-0.4,3904,0,38.6298,-0.864003,-390.766,39820.4,-12104.6,4615.68,-30.9772,-101.904,0,60
19547,807.42,764.78,752.9,757.34,770.61,-50.78,-884.77,523.44,-4.6,0.02,0.3,3910,0,31.3729,-2.6839,-335.018,34410.4,-10913.2,4008.8,-32.5765,-102.713,0,60
19578,803.36,764.36,752.8,757,769.38,-56.15,-876.46,528.32,-5.81,0.79,2.24,3917,0,25.6579,-5.59585,-292.584,30564.8,-9943.36,3498.56,-33.9847,-104.466,0,60
19609,800.28,764.12,752.78,756.86,768.51,-47.85,-867.19,523.93,-3.72,1.86,0.81,3923,0,21.6294,-7.12832,-264.058,27920.4,-9339.01,3273.74,-35.3673,-105.736,0,60
19640,798.44,764.02,752.77,756.6,767.96,-37.11,-881.84,522.46,-2.47,-0.6,1.81,3929,0,19.2727,-6.98755,-239.689,25674.9,-8879.94,3114.86,-37.0487,-107.118,0,60
19670,797.99,763.98,752.75,756.44,767.79,-45.9,-875,525.88,0.74,-0.46,0.21,3935,0,17.7484,-7.0431,-224.054,24148.2,-8493.55,2915.63,-37.909,-107.779,0,60
19702,797.91,763.94,752.72,756.38,767.74,-65.92,-886.72,527.34,-0.01,0.05,2.4,3941,0,16.9641,-7.1048,-214.5,23387.1,-8159.18,2810.09,-38.0379,-109.031,0,60
19732,797.81,764.01,752.62,756.45,767.72,-51.27,-884.77,524.41,-0.7,2.37,-1.5,3947,0,17.6683,-7.82596,-212.879,23523.9,-8059.29,2849.54,-37.8586,-110.504,0,60
19763,798.02,763.96,752.79,756.55,767.83,-56.64,-885.74,507.81,1.51,-1.86,0.21,3954,0,18.3976,-8.06674,-213.047,23726.9,-8109.74,2984.12,-38.0656,-111.369,0,60
19794,798.79,764.21,752.79,756.69,768.12,-51.76,-886.72,527.34,0.22,-0.21,-3.47,3960,0,19.4624,-7.55674,-215.111,23858.7,-8145.86,3015.72,-37.8679,-110.913,0,60
19825,799.55,764.14,752.79,756.88,768.34,-57.13,-881.35,530.27,2.38,-1.05,-1.03,3966,0,21.2557,-6.44626,-223.106,24186.8,-8319.68,3034.04,-37.2902,-108.41,0,60
19856,800.3,764.28,752.85,757.22,768.66,-62.99,-883.3,518.55,1.55,2.63,-2.81,3972,0,23.1808,-6.15756,-232.215,25073.2,-8385.04,3289.3,-36.1095,-107.975,0,60
19887,800.68,764.32,752.94,757.62,768.89,-68.85,-883.79,528.81,2.99,-1.52,-1.27,3978,0,24.8123,-5.47148,-240.572,25741.8,-8568.61,3524.04,-35.6179,-107.003,0,60
19918,801.19,764.47,752.95,758.14,769.19,-43.95,-888.18,524.9,1.27,-1.11,0.8,3985,0,27.9012,-5.57897,-251.434,26597,-8739.14,3699.63,-34.7571,-105.781,0,60
19949,801.41,764.62,753.01,758.7,769.44,-54.2,-878.42,548.34,3.79,-0.37,-2.69,3991,0,29.9101,-4.17172,-261.363,26855.1,-8939.24,3753.89,-34.2025,-102.75,0,60
19980,801.93,764.75,753.14,759,769.7,-40.53,-864.26,534.18,2.17,-2.24,-3.16,3997,0,31.193,-2.57252,-272.719,27248.6,-9175.86,3684.56,-33.646,-99.915,0,60
20011,802.14,764.9,753.21,759.27,769.88,-57.13,-875,531.25,0.05,-2.3,-2.79,4003,0,32.2062,-1.23263,-284.64,27613.7,-9451.9,3808.62,-33.2065,-97.0128,0,60
20042,802.12,765.08,753.12,759.69,770.01,-53.71,-890.62,522.46,-1.85,0.33,-1.16,4009,0,34.2535,-1.13419,-295.576,28205.9,-9630.54,3932.06,-32.5822,-95.4269,0,60
20073,801.89,765.25,753.28,759.98,770.1,-43.95,-875,539.06,0.8,0.49,1.34,4016,0,36.4512,-1.38222,-303.022,28392.7,-9604.94,3971.2,-31.6972,-93.6986,0,60
20104,801.63,765.53,753.24,760.39,770.2,-45.9,-874.02,536.13,-0.53,-2.15,-3.13,4022,0,37.5288,-0.899622,-307.298,28332.6,-9550.35,3891.32,-31.0785,-92.1992,0,60
20134,801.51,765.67,753.24,760.51,770.23,-49.32,-875.49,530.27,-0.12,0.74,0.13,4028,0,38.0875,-0.199265,-311.96,28088.2,-9514.58,3954,-30.4993,-90.0378,0,60
20164,801.16,765.79,753.27,760.66,770.22,-45.41,-883.79,532.71,1.17,0.27,-2.5,4034,0,39.0004,-0.128652,-316.7,28038.6,-9430.92,3960.32,-29.7788,-88.5337,0,60
20195,800.91,765.87,753.32,760.83,770.23,-40.04,-875.98,532.23,0.29,2.41,-1.5,4040,0,39.8727,0.626135,-320.132,27891.8,-9265.36,4027.9,-28.9424,-87.1259,0,60
20225,800.67,766.01,753.34,760.93,770.24,-36.62,-884.28,535.64,-0.5,-1.03,-0.81,4046,0,40.1788,0.489068,-321.371,27635.2,-9240.57,3840.12,-28.7536,-85.9918,0,60
20256,800.38,766.04,753.35,760.89,770.16,-54.69,-881.35,530.76,-0.27,4.47,-1.92,4052,0,40.0552,0.353905,-322.382,27454.1,-9171.82,3931.02,-28.4502,-85.1601,0,60
20286,800.02,766.13,753.27,760.91,770.08,-43.46,-876.95,537.11,-1.74,2.12,-1.88,4058,0,39.8027,0.700801,-322.808,27191.4,-9201.04,3681.33,-28.5031,-84.234,0,60
20317,800.14,766.18,753.32,760.74,770.09,-48.83,-878.91,525.88,-2.64,0,2.3,4064,0,39.5283,0.408512,-321.943,27042.1,-9131.3,3680.94,-28.3632,-83.9966,0,60
20348,800.2,766.17,753.32,760.53,770.06,-36.13,-884.28,539.55,-1.31,0.46,-1.21,4071,0,38.471,0.90329,-319.876,26782.6,-9005.18,3474.02,-28.1521,-83.728,0,60
20378,800.29,766.18,753.23,760.33,770.01,-31.25,-889.16,536.62,-2.14,-2.16,1.3,4077,0,37.931,0.174507,-319.088,26919.8,-9036.38,3381.21,-28.3194,-84.3649,0,60
20409,800.64,766.17,753.28,759.94,770.01,-49.32,-872.56,535.16,-3.15,1.87,-1.3,4083,0,37.7172,-0.0553602,-316.824,26980.6,-8966.41,3340.02,-28.3009,-85.1595,0,60
20440,801.03,766.18,753.23,759.7,770.03,-46.39,-876.46,526.86,-5.51,4.05,-2.49,4089,0,37.3333,-0.611227,-314.669,27146.2,-8907.34,3298.69,-28.307,-86.269,0,60
20470,801.44,766.21,753.18,759.21,770.01,-44.92,-871.58,524.9,-4.36,4.73,0.37,4095,0,36.783,-1.39718,-313.075,27525.5,-8935.88,3240.51,-28.5423,-87.9197,0,60
20501,801.87,766.23,753.08,758.93,770.03,-47.85,-868.65,539.06,-4.24,2.51,-0.22,4101,0,36.3371,-1.94948,-310.04,27792.2,-8780.17,3108.11,-28.3194,-89.6407,0,60
20532,802.36,766.32,753.06,758.71,770.11,-54.69,-886.72,530.76,-5.51,4.09,-2.77,4107,0,35.2604,-2.4002,-306.898,28172,-8814.15,3066.3,-28.7201,-91.7961,0,60
20563,802.33,766.45,753.07,758.71,770.14,-63.48,-881.84,518.07,-0.49,2.25,-0.35,4114,0,34.4106,-3.49979,-303.696,28602.1,-8788,2905.58,-28.9369,-94.1802,0,60
20594,802.31,766.5,753.04,758.71,770.14,-50.78,-882.32,513.67,-0.76,1.27,-0.81,4120,0,34.2098,-3.91372,-302.704,28891.6,-8755.47,2868.55,-28.9241,-95.4449,0,60
20625,802.47,766.57,753.06,758.68,770.2,-61.52,-888.18,514.65,-0.87,0.03,-2.52,4126,0,34.2411,-3.95915,-302.794,28851,-8631.8,2713.33,-28.5071,-95.2825,0,60
20656,802.78,766.53,753.11,758.65,770.27,-53.71,-887.21,513.67,1.53,0.05,-0.8,4132,0,34.5658,-3.79757,-303.944,28840.5,-8622.98,2669.17,-28.3703,-94.8875,0,60
20687,802.88,766.54,753.13,758.64,770.29,-43.46,-886.72,513.18,-0.03,-0.41,-0.8,4138,0,34.8392,-3.50378,-305.615,29136.8,-8561.09,2678.69,-28.0126,-95.338,0,60
20718,802.77,766.41,753.1,758.68,770.24,-60.06,-881.84,531.25,0.14,-0.54,-1.53,4145,0,35.3068,-3.515,-306.299,29280,-8639.44,2856.54,-28.2059,-95.5929,0,60
20749,802.59,766.45,753.08,758.69,770.2,-43.46,-877.44,519.53,1.08,1.93,0.27,4151,0,35.1619,-3.72113,-305.592,29274.3,-8614.16,2691.59,-28.1884,-95.7954,0,60
20780,802.34,766.38,753.19,758.63,770.13,-49.8,-877.93,523.93,1,-1.12,-3.28,4157,0,35.0923,-2.98918,-304.599,29093.1,-8648.18,2853.43,-28.392,-95.513,0,60
20810,802.33,766.34,753.09,758.62,770.09,-51.76,-888.18,527.34,0.96,0.63,0.08,4163,0,35.0942,-2.07267,-302.438,28837.7,-8685.37,2879.82,-28.7179,-95.3507,0,60
20841,802.39,766.36,753.07,758.64,770.11,-45.9,-882.81,521.48,-0.68,1.36,-0.31,4169,0,34.4273,-2.14583,-300.967,28705.2,-8627.72,2820.88,-28.6667,-95.3767,0,60
20872,802.56,766.37,753.1,758.56,770.15,-63.96,-884.77,511.23,-0.21,0.68,-3.86,4175,0,33.9754,-2.06125,-299.872,28646.4,-8654.19,2795.97,-28.8596,-95.5288,0,60
20903,802.78,766.38,753.06,758.55,770.19,-48.83,-889.65,515.14,0.05,-0.12,1.2,4182,0,34.0958,-2.23092,-300.566,28739.6,-8742.76,2761.93,-29.0876,-95.6183,0,60
20934,802.92,766.39,753.05,758.54,770.22,-46.88,-879.39,519.04,-2.87,-2.07,-0.44,4188,0,34.3102,-2.20269,-301.502,28991.9,-8770.78,2858.93,-29.0903,-96.1584,0,60
20965,803.08,766.29,753.09,758.49,770.24,-50.29,-884.77,520.51,-0.29,0.04,-1.29,4194,0,34.4995,-2.13544,-303.234,29216.1,-8765.14,2883.84,-28.9055,-96.3482,0,60
20996,803.29,766.3,753.11,758.42,770.28,-61.52,-878.91,534.18,-0.79,0.85,-1.87,4200,0,34.5303,-2.70543,-303.313,29291.6,-8786.12,2855.58,-28.9672,-96.5721,0,60
21027,803.37,766.38,753.02,758.46,770.31,-43.95,-885.74,518.55,-2.78,-3.31,0.39,4206,0,34.3017,-2.76096,-303.487,29515.1,-8813.63,3010.2,-29.0412,-97.2531,0,60
21058,803.26,766.45,753,758.49,770.3,-50.78,-873.05,529.79,1.08,-1.1,-1.86,4213,0,34.2957,-3.07767,-304.654,29639.2,-8822.5,3024.3,-28.9591,-97.288,0,60
21089,803.22,766.43,753.06,758.5,770.31,-41.5,-894.53,520.02,-0.98,0.95,0.56,4219,0,34.914,-2.90608,-304.521,29615.5,-8816.14,3050.21,-28.9508,-97.2529,0,60
21120,803.43,766.39,753.08,758.46,770.34,-56.15,-884.77,518.55,-1.98,0.96,-1.17,4225,0,35.1959,-2.76487,-305.159,29527.7,-8754.24,2968.71,-28.6875,-96.7617,0,60
21151,803.45,766.48,753.02,758.49,770.36,-58.59,-896.97,514.65,0.83,-0.23,0.98,4231,0,35.5067,-2.54708,-305.456,29486,-8712.67,3041.16,-28.5235,-96.5313,0,60
21182,803.54,766.48,753.09,758.56,770.42,-50.78,-881.35,511.72,0.05,-0.32,-0.08,4237,0,35.3104,-2.61524,-305.984,29604.8,-8717.44,3066.02,-28.4898,-96.7527,0,60
21212,803.34,766.53,753.08,758.49,770.36,-49.8,-898.44,520.51,-0.65,0.68,1.11,4243,0,35.4296,-3.06679,-306.859,29776.3,-8756.44,3194.07,-28.5357,-97.0358,0,60
21243,803.42,766.5,753.1,758.6,770.41,-53.22,-893.55,506.84,-2.34,1.1,-0.16,4250,0,35.738,-2.69873,-308.236,29783.2,-8692.07,3127.31,-28.1994,-96.6245,0,60
