currTime,s1,s2,s3,s4,s,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Frame,SubFrame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
1568,0,0,0,0,0,-42.97,-881.35,508.3,-1.31,2.46,-2.49,314,0,0,0,0,0,0,0,0,0,0
1599,0,0,0,0,0,-29.3,-891.11,506.35,-2.25,0.72,0.3,320,0,0,0,0,0,0,0,0,0,0
1629,0,0,0,0,0,-54.2,-877.44,521.48,0.1,2.21,-3.26,326,0,0,0,0,0,0,0,0,0,0
1659,0,0,0,0,0,-37.6,-880.86,536.62,-0.1,1.99,-1.3,332,0,0,0,0,0,0,0,0,0,0
1690,0,0,0,0,0,-44.92,-889.16,516.6,1.79,1.11,1.39,338,0,0,0,0,0,0,0,0,0,0
1721,0,0,0,0,0,-39.55,-877.93,505.37,0.85,1.4,-2.5,344,0,0,0,0,0,0,0,0,0,0
1752,0,0,0,0,0,-41.5,-887.21,519.04,-0.59,1.01,1.64,350,0,0,0,0,0,0,0,0,0,0
1782,0,0,0,0,0,-48.34,-878.91,526.37,0.92,4.21,-0.52,356,0,0,0,0,0,0,0,0,0,0
1813,0,0,0,0,0,-41.02,-880.86,528.32,-0.18,0.37,-1.62,363,0,0,0,0,0,0,0,0,0,0
1844,0,0,0,0,0,-42.48,-888.67,517.09,-0.63,1.04,-0.86,369,0,0,0,0,0,0,0,0,0,0
1874,0,0,0,0,0,-32.71,-889.16,518.07,0.18,2.55,0.06,375,0,0,0,0,0,0,0,0,0,0
1905,0,0,0,0,0,-39.06,-877.93,513.18,1.08,-0.32,-2.77,381,0,0,0,0,0,0,0,0,0,0
1936,0,0,0,0,0,-38.57,-884.77,505.37,-1,0.98,1.18,387,0,0,0,0,0,0,0,0,0,0
1967,0,0,0,0,0,-31.74,-887.21,511.72,2.62,-0.85,-1.13,393,0,0,0,0,0,0,0,0,0,0
1998,0,0,0,0,0,-31.25,-873.54,534.67,2.26,-1.75,-0.67,400,0,0,0,0,0,0,0,0,0,0
2029,0,0,0,0,0,-37.11,-876.95,531.74,-0.33,-2.16,2.45,406,0,0,0,0,0,0,0,0,0,0
2060,0,0,0,0,0,-32.23,-889.16,529.3,1.53,-1.69,-1.27,412,0,0,0,0,0,0,0,0,0,0
2091,0,0,0,0,0,-38.57,-890.62,530.27,1.8,1.34,-0.17,418,0,0,0,0,0,0,0,0,0,0
2121,0,0,0,0,0,-27.83,-874.02,542.97,3.8,-0.44,-0.5,424,0,0,0,0,0,0,0,0,0,0
2153,0,0,0,0,0,-41.99,-884.77,525.39,2.17,-2.56,0.29,431,0,0,0,0,0,0,0,0,0,0
2184,0,0,0,0,0,-23.44,-875.98,527.83,0.08,-2.19,1.13,437,0,0,0,0,0,0,0,0,0,0
2215,0,0,0,0,0,-26.37,-875.49,540.53,-1.28,-1.76,0.23,443,0,0,0,0,0,0,0,0,0,0
2245,0,0,0,0,0,-40.53,-881.35,529.3,-0.32,-2.64,-0.6,449,0,0,0,0,0,0,0,0,0,0
2277,0,0,0,0,0,-27.34,-882.32,538.09,-1.18,2.63,0.11,455,0,0,0,0,0,0,0,0,0,0
2307,0,0,0,0,0,-26.86,-871.58,522.46,1.01,2.21,2.64,461,0,0,0,0,0,0,0,0,0,0
2338,0,0,0,0,0,-47.36,-878.42,541.99,0.03,2.13,2.36,468,0,0,0,0,0,0,0,0,0,0
2369,0,0,0,0,0,-39.55,-876.95,519.04,-1.69,-0.62,0.4,474,0,0,0,0,0,0,0,0,0,0
2401,0,0,0,0,0,-37.6,-883.79,540.53,1.94,-0.03,-1.89,480,0,0,0,0,0,0,0,0,0,0
2431,0,0,0,0,0,-44.92,-882.81,536.62,0.66,-0.25,-2.04,486,0,0,0,0,0,0,0,0,0,0
2462,0,0,0,0,0,-35.16,-876.95,533.69,0.98,0.56,-1.74,492,0,0,0,0,0,0,0,0,0,0
2493,0,0,0,0,0,-43.46,-875.98,524.41,-1.41,0.74,-0.5,499,0,0,0,0,0,0,0,0,0,0
2524,0,0,0,0,0,-42.97,-863.28,535.64,1.13,0.02,0.23,505,0,0,0,0,0,0,0,0,0,0
2555,0,0,0,0,0,-32.23,-867.68,521,-0.09,1.2,-0.37,511,0,0,0,0,0,0,0,0,0,0
2586,0,0,0,0,0,-28.81,-882.32,545.41,-0.56,-1.02,-1.43,517,0,0,0,0,0,0,0,0,0,0
