currTime,s1,s2,s3,s4,s,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Frame,SubFrame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Weight
15639,826.01,763.87,758.54,774.16,780.64,-63.96,-920.41,431.64,-4.92,3.68,-2.78,3129,0,36.1186,3.69467,-529.539,17345.2,-61175.1,1750.13,-115.525,-32.7546,0,70
15669,822.95,763.85,758.32,773.26,779.6,-52.25,-924.32,437.99,-4.32,3.32,-0.4,3135,0,32.2463,2.83376,-490.662,15325.8,-56707.1,1494.23,-115.573,-31.2347,0,70
15700,820.91,763.88,758.18,772.65,778.9,-63.48,-927.25,434.08,-6,3.05,-0.36,3141,0,30.0927,1.72279,-458.112,13879.3,-52986.6,1405.08,-115.663,-30.2968,0,70
15731,818.44,763.8,758.06,772.06,778.09,-51.27,-928.22,421.87,-3.55,1.45,-1.61,3147,0,28.7512,0.0578822,-434.817,13473.9,-50302,1379.59,-115.685,-30.9879,0,70
15761,815.8,763.78,757.89,771.46,777.23,-48.34,-924.32,423.34,-5.11,2.4,-1.31,3153,0,28.0637,-2.15608,-417.385,13257,-48340.8,1554.07,-115.818,-31.7623,0,70
15792,813.22,763.86,757.71,770.83,776.41,-52.73,-928.71,420.9,-6.27,4.19,-3.26,3159,0,28.335,-3.9299,-398.79,12710.8,-46230.8,1605.66,-115.928,-31.8732,0,70
15823,810.46,763.88,757.68,770.38,775.6,-72.75,-927.73,429.2,-4.66,3.32,-3.39,3166,0,26.6658,-5.12713,-376.646,12076.2,-43719.9,1557.82,-116.077,-32.0625,0,70
15854,808.37,764,757.59,769.89,774.96,-63.96,-922.85,434.57,-3.18,1.59,-2.73,3172,0,25.2122,-5.85487,-361.025,11380.5,-41841.4,1751.1,-115.896,-31.5225,0,70
15885,807.23,764.08,757.45,769.25,774.5,-53.22,-937.5,423.83,-3.67,0.68,-0.51,3178,0,25.7856,-5.44077,-346.305,10689.4,-40015.6,1729.38,-115.55,-30.8668,0,70
15916,806.95,764.16,757.44,768.79,774.33,-50.78,-934.57,425.78,1.05,0.33,-1.08,3184,0,25.8742,-4.22702,-337.616,10354,-38668.8,1779.19,-114.535,-30.668,0,70
15947,806.95,764.14,757.37,768.22,774.17,-73.24,-948.73,431.64,-0.15,-0.98,1.11,3190,0,26.6822,-3.65961,-332.456,10316.4,-37971.5,1532.42,-114.215,-31.0309,0,70
15978,806.83,764.12,757.3,767.54,773.95,-55.66,-945.31,424.8,-1.4,-0.64,1.54,3197,0,26.6169,-3.11712,-327.952,10740.8,-37646,1683.28,-114.791,-32.7514,0,70
16009,807.4,764.06,757.05,766.93,773.86,-46.88,-918.46,424.32,-1.56,-0.26,2.05,3203,0,26.8476,-2.1429,-323.719,10944.8,-37125.8,1658.95,-114.685,-33.8098,0,70
16040,807.79,763.96,757.07,766.75,773.89,-58.59,-943.36,409.67,-1.07,1.05,-3.07,3209,0,26.9413,-1.51846,-318.981,11406.4,-36674.2,1736.7,-114.973,-35.7591,0,70
16071,807.87,763.99,756.97,766.57,773.85,-50.29,-924.8,432.13,-1.69,0.97,-0.6,3215,0,27.5507,-1.87428,-315.856,12283.5,-36546.7,1924.76,-115.707,-38.8896,0,70
16102,808.13,764.01,756.94,766.31,773.85,-56.64,-924.32,428.71,0.86,-1.84,-0.18,3221,0,28.3934,-2.54116,-313.95,12737.2,-36413.2,2042.85,-115.984,-40.5708,0,70
