currTime,s1,s2,s3,s4,s,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,GRF,Frame,SubFrame,Weight,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
15629,751.89,763.19,760.14,758.71,758.48,-180.18,-930.66,145.02,-4.82,-53.47,173.34,-10.81,3127,0,64,-27.7258,0.56356,-335.437,16970.3,43961.8,1127.08,-375.942,-50.5917,0
15664,751.91,762.82,759.74,758.06,758.13,499.51,-1963.87,436.52,-67.22,-122.2,97.05,-8.24,3134,0,64,-28.5706,0.174701,-345.516,17202.6,45395.1,1069.88,-375.616,-49.7881,0
15698,751.88,762.39,759.61,757.92,757.95,385.25,-599.12,87.89,31.98,-97.7,-14.18,-5.72,3141,0,64,-29.0947,-0.578362,-351.703,17542.8,46409.4,957.723,-375.044,-49.8795,0
15732,751.92,762.14,759.46,757.82,757.83,479.49,-461.43,162.6,26.63,-96.51,-60.52,-6.24,3147,0,64,-28.3488,-1.30039,-346.895,17135.8,45710.8,935.891,-375.228,-49.3978,0
15766,751.88,762.04,759.36,757.77,757.76,476.07,-317.87,148.93,13.68,-88.14,-120.35,-7.12,3154,0,64,-27.879,-3.0718,-343.992,17251.6,45387,693.874,-375.058,-50.151,0
15800,751.87,761.9,759.37,757.69,757.71,377.93,-474.61,224.61,-31.67,-66.21,-162.47,-4.51,3161,0,64,-26.6063,-5.04918,-344.584,17435.2,45534.6,589.856,-374.856,-50.5977,0
15834,751.78,761.85,759.23,757.56,757.6,195.31,-713.87,387.7,-67.51,-32.67,-186.02,-5.42,3168,0,64,-26.7183,-5.68896,-345.801,17164.7,45574.1,528.657,-375.207,-49.6375,0
15868,751.67,761.88,759.25,757.67,757.62,-226.56,-1039.55,662.6,-88.85,-1.4,-188.01,-6.38,3175,0,64,-26.9595,-5.91079,-344.364,16609.4,45372,585.981,-375.244,-48.2321,0
15901,751.65,761.83,759.19,757.61,757.57,-704.1,-1427.73,877.93,-50.34,21.18,-163.4,-6.4,3181,0,64,-25.9375,-5.23319,-340.379,15742.2,44843.2,702.283,-375.255,-46.2489,0
15935,751.62,761.84,759.14,757.62,757.56,-1122.56,-1226.56,691.89,12.24,46.57,-102.89,-7.88,3188,0,64,-24.2441,-3.8447,-332.33,14537.2,43916.3,1060.66,-374.853,-43.743,0
15969,751.61,761.64,759.14,757.63,757.51,-1087.89,-913.09,293.46,-16.17,45.21,-11.2,-6.47,3195,0,64,-23.1766,-3.44929,-324.047,13363.6,42859.4,1106.57,-374.737,-41.2392,0
16002,755.05,762.66,759.45,758.51,758.92,-3.42,-2000,1999.94,250.13,-250.14,9.93,-31.66,3201,0,64,-22.7067,-3.06973,-318.55,12580,42183.7,1092.68,-374.576,-39.4911,0
16037,765.72,764.4,760.67,758.65,762.36,208.98,-1338.87,1372.07,-250.14,-226.27,0.56,-53.59,3208,0,64,-22.0219,-2.17314,-312.974,11771.6,41456.9,1153.67,-374.539,-37.6119,0
16071,771.6,766.33,762.33,759.92,765.04,128.91,-51.27,786.13,85.37,27.4,10.08,-66.91,3215,0,64,-22.1694,-2.13674,-309.74,11052.8,40945.5,1228.48,-374.807,-35.6841,0
16104,772.79,767.14,763.1,760.63,765.91,134.77,-779.3,409.67,22.85,-18.14,6.03,-68.6,3222,0,64,-21.8116,-1.58058,-308.399,10209.4,40677.5,1297.1,-375.101,-33.1046,0
16138,774.55,767.52,763.05,761.04,766.54,60.55,-892.58,474.12,-10.04,-12.05,2.3,-85,3229,0,64,-21.8421,-1.25175,-311.194,9735.99,41108.5,1297.53,-374.901,-31.2861,0
16172,777.87,767.76,762.47,761.73,767.46,42.48,-838.87,519.53,-9.85,2.98,-0.29,-123.08,3235,0,64,-22.1546,-1.12719,-314.125,9214.82,41517.7,1399.57,-374.831,-29.3349,0
16208,782.9,767.98,761.81,762.41,768.78,107.91,-812.99,552.25,1.43,8.11,-0.62,-168.42,3243,0,64,-22.5668,-0.617764,-315.406,8498.97,41562.5,1596.72,-375.226,-26.9461,0
16241,787.56,768.23,761.45,762.92,770.04,77.15,-853.03,546.87,1.75,5.98,-1.18,-202.92,3249,0,64,-22.7745,-0.677624,-313.371,7782.19,41363.1,1696.7,-375.006,-24.8337,0
16276,790.12,768.91,761.39,763.61,771.01,116.21,-878.42,502.93,9.84,3.98,2.19,-228.84,3256,0,64,-22.6219,-0.570624,-311.266,7199.88,41074.6,1601.58,-375.04,-23.131,0
16310,792.16,769.72,761.78,764.05,771.93,106.93,-846.68,536.62,9.79,2.33,4.42,-239.11,3263,0,64,-22.2472,-0.173442,-309.921,6806.15,40941.2,1656.74,-374.898,-21.9609,0
16344,794.56,770.56,762.4,764.22,772.94,95.21,-845.7,535.64,2.29,1.17,5.39,-240.99,3270,0,64,-22.0577,0.243393,-309.755,6428.68,40905.2,1891.75,-374.944,-20.7541,0
16378,797.74,771.54,762.74,764.14,774.04,103.52,-836.43,535.16,1.63,-1.27,5.78,-250.26,3277,0,64,-21.9491,0.419829,-310.096,6387.36,40968,1874.76,-374.886,-20.598,0
16412,799.83,772.35,762.89,764.11,774.8,109.37,-860.84,554.69,0.66,-1.47,5.35,-259.56,3283,0,64,-21.961,-0.0892201,-313.884,6782.57,41549.6,1904.56,-374.627,-21.6083,0
16447,800.16,772.64,762.97,763.92,774.92,97.66,-877.44,529.3,-1.15,1.38,4.82,-258.33,3290,0,64,-21.7135,-1.84412,-320.381,7447.27,42351.4,1638.49,-374.809,-23.2449,0
16481,798.15,772.24,762.88,763.37,774.16,90.33,-864.75,531.25,-3.65,1,1.34,-242.39,3297,0,64,-21.9492,-2.87956,-324.011,8032.74,42768.7,1501.75,-375.002,-24.7914,0
16515,793.05,771.14,762.48,762.47,772.28,88.87,-866.7,542.97,-11.94,0.21,1.78,-212.7,3304,0,64,-22.0368,-2.88996,-326.297,8469.38,43124.7,1435.5,-374.836,-25.956,0
16549,782.78,769.08,761.72,761.13,768.68,83.98,-886.23,516.6,-24.73,0.21,0.12,-160.16,3311,0,64,-22.4374,-2.83753,-330.162,9030.33,43626.9,1473.85,-374.862,-27.3511,0
16583,767.88,766.31,760.45,759.62,763.56,92.29,-885.25,506.35,-27.24,2.89,-6.05,-96.36,3318,0,64,-22.5053,-3.59122,-339.75,10119.4,44866.8,1309.7,-374.942,-29.7847,0
16618,757.13,763.97,759.54,758.61,759.81,130.86,-908.69,505.37,-49.37,-5.74,-16.9,-48.47,3325,0,64,-23.8558,-5.40894,-353.438,11786.9,46665.6,985.281,-374.967,-33.3487,0
16652,754.28,763.05,759.33,758.17,758.71,244.63,-1021.48,439.94,-131.86,-24.28,-29.92,-30.14,3331,0,64,-25.1257,-7.14917,-363.389,13053.2,47975.9,493.108,-374.977,-35.9205,0
16686,754.73,762.82,759.2,758.08,758.71,399.9,-709.47,296.87,139.31,14.76,-60.96,-31.58,3338,0,64,-25.9867,-8.4972,-368.328,13954.5,48475.3,256.265,-375.391,-37.8862,0
16720,756.23,762.81,759.18,758.05,759.07,-120.61,-761.23,-17.09,-2.46,29.36,-5.34,-36.81,3345,0,64,-26.1673,-8.47559,-362.257,13809.1,47375.6,176.298,-376.221,-38.1195,0
16754,761.16,762.98,759.42,758.24,760.45,54.69,-944.34,902.34,28.27,57.2,46.7,-51.94,3352,0,64,-25.8824,-6.44647,-355.026,13109.2,46335.5,307.622,-376.487,-36.9247,0
16788,768.71,763.62,760.41,758.89,762.91,190.43,-1100.59,-230.47,-26.33,-21.69,6.83,-67.94,3359,0,64,-25.4642,-6.28219,-356.887,13190.8,46487.2,521.752,-376.742,-36.9606,0
16823,772.53,764.63,761.37,759.64,764.54,118.16,-1007.32,516.6,-12.42,-31.63,12.74,-76,3366,0,64,-25.4793,-7.5331,-363.362,13879,47271.8,392.852,-376.905,-38.196,0
16857,774.66,765.41,761.85,760.09,765.51,87.89,-940.43,455.08,-9.63,-11.21,9.06,-84.49,3372,0,64,-25.8251,-8.95094,-367.328,14557.4,47795.3,134.214,-376.884,-39.6304,0
16891,777.37,765.92,762.12,760.24,766.41,88.38,-921.39,497.56,-0.11,-1.54,5.16,-93.22,3379,0,64,-25.0666,-9.53445,-365.828,14913.7,47709.1,43.1566,-376.586,-40.7673,0
16925,779.93,766.37,762.2,760.36,767.22,101.56,-904.3,498.05,4.28,1.59,-1.28,-105.37,3386,0,64,-24.841,-8.82022,-361.499,14823,47076.3,210.4,-376.775,-41.0042,0
16959,781.76,766.55,762.43,760.49,767.81,117.68,-887.21,501.46,2.4,-0.62,-0.24,-109.39,3393,0,64,-24.4309,-8.41865,-357.145,14757.4,46609.9,287.928,-376.493,-41.3205,0
16994,782.8,766.64,762.86,760.62,768.23,123.05,-890.62,504.88,4.6,0.82,0.75,-104.76,3400,0,64,-23.588,-9.07216,-356.81,15068,46599.4,147.521,-376.4,-42.2296,0
17028,782.92,766.67,763.39,761.01,768.5,108.4,-868.65,521.48,10.31,1.95,-1.58,-98.06,3407,0,64,-23.4671,-10.6211,-357.888,15567.4,46823.4,-18.5022,-376.168,-43.4978,0
17062,782.58,766.86,763.94,761.51,768.72,113.28,-863.28,539.55,8.24,0.82,0.37,-91.98,3413,0,64,-23.5527,-12.2307,-357.448,15698.1,46710.1,-101.739,-376.324,-43.9171,0
17096,782.45,766.78,764.39,761.9,768.88,98.14,-864.26,539.55,4.77,0.57,-1.29,-85.55,3420,0,64,-23.5398,-12.7189,-354.764,15254.5,46135.2,-130.897,-376.955,-42.9988,0
17130,782.76,766.88,764.7,762.14,769.12,107.91,-858.4,524.41,2.63,1.32,-0.97,-83.11,3427,0,64,-23.5061,-12.8582,-348.615,14317.7,45102.6,-104.47,-377.624,-41.0702,0
17166,783.11,766.91,764.98,762.42,769.36,103.03,-861.33,526.86,3.29,-0.38,-1.31,-81.69,3434,0,64,-23.2082,-13.0579,-344.474,13148.7,44207.3,-118.844,-378.668,-38.1698,0
17200,782.85,766.86,765.06,762.6,769.34,107.42,-869.14,526.37,2.86,0.16,0.12,-80.96,3441,0,64,-23.5705,-12.7238,-338.713,11178.7,43173.3,-61.4985,-379.537,-33.0027,0
17235,782.82,766.9,765.07,762.54,769.33,107.42,-862.79,526.86,-0.24,1.56,-0.04,-80.12,3448,0,64,-23.2556,-11.1455,-332.79,8433.53,42125.8,200.689,-380.416,-25.3409,0
17269,782.86,766.84,765.05,762.6,769.34,114.26,-861.82,536.13,2.13,0.49,0.69,-81.29,3455,0,64,-23.3211,-9.12007,-327.741,5837.52,41035.5,605.081,-381.793,-17.811,0
17303,782.77,766.95,765.06,762.62,769.35,117.19,-871.09,520.51,0.21,3.07,1.02,-81.63,3462,0,64,-24.2947,-7.36815,-324.101,2732.93,40012.8,896.971,-383.542,-8.43178,0
17337,782.5,766.93,765.2,762.73,769.34,108.4,-866.21,524.41,-0.23,3.87,2.4,-79,3468,0,64,-25.1665,-4.97933,-321.288,-349.381,38985.2,1150.07,-385.66,1.08752,0
17371,781.88,766.96,765.28,762.72,769.21,109.37,-852.54,536.13,1.23,2.67,1.2,-74.89,3475,0,64,-26.4148,-1.56811,-316.906,-3925.19,37695,1516.85,-388.053,12.3867,0
17406,780.88,767.02,765.48,763,769.09,104,-854.49,535.16,3.97,2.73,-0.26,-71.09,3482,0,64,-28.1004,0.733463,-316.514,-7088.17,36809.1,1851.77,-390.704,22.3942,0
17439,779.95,766.97,765.62,763.09,768.91,109.37,-860.35,541.5,0.97,0.86,2.15,-65.21,3489,0,64,-29.9079,3.23552,-321.008,-10356.3,36399.5,2127.61,-393.609,32.2614,0
17473,779.1,766.97,765.74,763.26,768.77,106.45,-856.93,532.23,0.48,-0.15,2.79,-61.94,3496,0,64,-31.4245,5.20352,-324.094,-12605.3,36162.6,2280.04,-395.419,38.8939,0
17506,778.3,766.98,765.85,763.41,768.63,111.33,-838.87,539.55,1.16,1.15,2.47,-58.77,3502,0,64,-31.9452,5.7154,-324.763,-13843.1,35842.4,2368.56,-396.635,42.6253,0
17540,777.57,766.99,765.97,763.58,768.53,107.42,-856.45,532.23,1.98,0.63,1,-55.68,3509,0,64,-31.4171,4.9797,-324.096,-14583.1,35339.8,2441.27,-397.959,44.9963,0
17574,776.97,766.98,766.03,763.72,768.43,122.07,-853.52,533.2,0.11,2.25,-1.08,-54.2,3516,0,64,-31.5756,4.11547,-316.362,-14999.5,34143.1,2181.81,-399.076,47.4127,0
17608,776.43,767.07,766.41,763.88,768.45,105.96,-867.68,532.71,1.9,2.24,-1.02,-45.9,3523,0,64,-31.5543,4.7884,-303.703,-15244.4,32428.1,2238.32,-400.225,50.1959,0
17642,776.01,767.24,766.64,764.31,768.55,115.72,-863.77,530.27,2.42,3.64,-0.6,-46.27,3529,0,64,-31.0463,6.21018,-293.592,-15712.5,31150.2,2348.51,-400.9,53.5189,0
17676,775.51,767.36,766.86,764.61,768.59,114.26,-842.77,541.5,1.84,1.13,-1.17,-44.59,3536,0,64,-30.4388,8.93477,-286.529,-16293.2,30144.7,2702.38,-401.793,56.8643,0
17710,774.82,767.42,767.14,764.91,768.57,103.03,-853.03,554.2,1.55,0.85,-1.76,-40.15,3543,0,64,-30.0426,13.6452,-287.343,-17023.8,30076.5,3464.02,-402.329,59.2453,0
17744,774.33,767.55,767.39,765.16,768.61,113.28,-851.56,526.86,-0.68,1.84,3.81,-37.1,3550,0,64,-31.608,15.2343,-292.159,-17213.5,30280.4,3603.18,-403.356,58.9184,0
17777,773.77,767.54,767.53,765.31,768.54,115.23,-854.49,555.18,3.63,-0.3,2.68,-33.83,3556,0,64,-32.8162,14.9647,-295.585,-17051.3,30211.9,3405.06,-404.789,57.6866,0
17811,773.35,767.55,767.6,765.44,768.48,112.3,-860.84,536.62,1.38,2.91,1.42,-32.6,3563,0,64,-36.4536,13.1402,-302.91,-16735.1,30665.1,3232.63,-405.765,55.2492,0
17846,773.24,767.51,767.72,765.49,768.49,102.54,-859.37,558.11,-0.5,2.88,-0.06,-29.42,3570,0,64,-38.885,13.7072,-315.404,-17516.7,32487.3,3405.51,-403.998,55.5372,0
